CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18050,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
CARDIOVASCULAR,33010,TOTAL,4235,472927.81,373359.19
CARDIOVASCULAR,33010,80S,N/A,0,0
CARDIOVASCULAR,33010,OTHER,4235,472927.81,373359.19
CARDIOVASCULAR,33011,TOTAL,100,10422.98,8259.15
CARDIOVASCULAR,33011,OTHER,100,10422.98,8259.15
CARDIOVASCULAR,33015,TOTAL,623,300525.49,238823.83
CARDIOVASCULAR,33015,80S,N/A,0,0
CARDIOVASCULAR,33015,OTHER,623,300525.49,238823.83
CARDIOVASCULAR,33020,TOTAL,334,166999.38,132639.6
CARDIOVASCULAR,33020,80S,111,9868.68,7820.88
CARDIOVASCULAR,33020,OTHER,223,157130.7,124818.72
CARDIOVASCULAR,33025,TOTAL,6794,4291295.23,3413451.2
CARDIOVASCULAR,33025,80S,1554,173468.09,137947.49
CARDIOVASCULAR,33025,OTHER,5240,4117827.14,3275503.71
CARDIOVASCULAR,33030,TOTAL,670,541797.18,429605.12
CARDIOVASCULAR,33030,80S,218,36794.07,29089.54
CARDIOVASCULAR,33030,OTHER,452,505003.11,400515.58
CARDIOVASCULAR,33031,TOTAL,334,209803.05,166973.95
CARDIOVASCULAR,33031,80S,118,15262.18,12147.69
CARDIOVASCULAR,33031,OTHER,216,194540.87,154826.26
CARDIOVASCULAR,33050,TOTAL,129,63276.01,49755.51
CARDIOVASCULAR,33050,80S,38,3550.95,2760.98
CARDIOVASCULAR,33050,OTHER,91,59725.06,46994.53
CARDIOVASCULAR,33120,TOTAL,1041,868072.62,688910.51
CARDIOVASCULAR,33120,80S,376,67171.87,53273.23
CARDIOVASCULAR,33120,OTHER,665,800900.75,635637.28
CARDIOVASCULAR,33130,TOTAL,79,54914.12,43931.26
CARDIOVASCULAR,33130,80S,31,4607.02,3685.61
CARDIOVASCULAR,33130,OTHER,48,50307.1,40245.65
CARDIOVASCULAR,33140,TOTAL,85,87748.91,70386.02
CARDIOVASCULAR,33140,80S,32,7011.96,5609.54
CARDIOVASCULAR,33140,OTHER,53,80736.95,64776.48
CARDIOVASCULAR,33141,TOTAL,1322,125442.35,99209.82
CARDIOVASCULAR,33141,80S,514,10460.84,8324.69
CARDIOVASCULAR,33141,OTHER,808,114981.51,90885.13
CARDIOVASCULAR,33202,TOTAL,2779,1680416.85,1336856.21
CARDIOVASCULAR,33202,80S,N/A,0,0
CARDIOVASCULAR,33202,OTHER,2779,1680416.85,1336856.21
CARDIOVASCULAR,33203,TOTAL,255,206440.53,163509.28
CARDIOVASCULAR,33203,80S,N/A,0,0
CARDIOVASCULAR,33203,OTHER,255,206440.53,163509.28
CARDIOVASCULAR,33206,TOTAL,1377,641005.67,508565.03
CARDIOVASCULAR,33206,80S,N/A,0,0
CARDIOVASCULAR,33206,OTHER,1377,641005.67,508565.03
CARDIOVASCULAR,33207,TOTAL,25130,12484239.21,9934035.07
CARDIOVASCULAR,33207,80S,N/A,0,0
CARDIOVASCULAR,33207,OTHER,25130,12484239.21,9934035.07
CARDIOVASCULAR,33208,TOTAL,121302,65904940.12,52403659.27
CARDIOVASCULAR,33208,80S,N/A,0,0
CARDIOVASCULAR,33208,OTHER,121302,65904940.12,52403659.27
CARDIOVASCULAR,33210,TOTAL,21117,2952294.05,2338427.36
CARDIOVASCULAR,33210,80S,N/A,0,0
CARDIOVASCULAR,33210,OTHER,21117,2952294.05,2338427.36
CARDIOVASCULAR,33211,TOTAL,764,104034.03,82258.46
CARDIOVASCULAR,33211,80S,N/A,0,0
CARDIOVASCULAR,33211,OTHER,764,104034.03,82258.46
CARDIOVASCULAR,33212,TOTAL,11244,4359340.75,3446062.84
CARDIOVASCULAR,33212,80S,N/A,0,0
CARDIOVASCULAR,33212,SG,N/A,14731,11784.8
CARDIOVASCULAR,33212,OTHER,11244,4344609.75,3434278.04
CARDIOVASCULAR,33213,TOTAL,47513,20598067.94,16295007.15
CARDIOVASCULAR,33213,80S,N/A,0,0
CARDIOVASCULAR,33213,SG,N/A,38100.9,30480.7
CARDIOVASCULAR,33213,OTHER,47513,20559967.04,16264526.45
CARDIOVASCULAR,33214,TOTAL,789,368671.72,292428.92
CARDIOVASCULAR,33214,80S,N/A,461.56,369.26
CARDIOVASCULAR,33214,OTHER,789,368210.16,292059.66
CARDIOVASCULAR,33215,TOTAL,4977,1347392.9,1071009.82
CARDIOVASCULAR,33215,80S,N/A,0,0
CARDIOVASCULAR,33215,OTHER,4977,1347392.9,1071009.82
CARDIOVASCULAR,33216,TOTAL,6077,1824526.6,1447981.96
CARDIOVASCULAR,33216,80S,N/A,0,0
CARDIOVASCULAR,33216,OTHER,6077,1824526.6,1447981.96
CARDIOVASCULAR,33217,TOTAL,2495,762319.25,606756.14
CARDIOVASCULAR,33217,80S,N/A,0,0
CARDIOVASCULAR,33217,OTHER,2495,762319.25,606756.14
CARDIOVASCULAR,33218,TOTAL,827,249289.44,197478.29
CARDIOVASCULAR,33218,80S,N/A,0,0
CARDIOVASCULAR,33218,OTHER,827,249289.44,197478.29
CARDIOVASCULAR,33220,TOTAL,418,138521.71,109478.14
CARDIOVASCULAR,33220,OTHER,418,138521.71,109478.14
CARDIOVASCULAR,33222,TOTAL,3938,995259.46,791253.56
CARDIOVASCULAR,33222,80S,N/A,0,0
CARDIOVASCULAR,33222,SG,N/A,584.02,467.22
CARDIOVASCULAR,33222,OTHER,3938,994675.44,790786.34
CARDIOVASCULAR,33223,TOTAL,6669,1972984.9,1563819.65
CARDIOVASCULAR,33223,80S,12,677.44,490.82
CARDIOVASCULAR,33223,OTHER,6657,1972307.46,1563328.83
CARDIOVASCULAR,33224,TOTAL,3139,1461093.11,1160936.9
CARDIOVASCULAR,33224,80S,N/A,0,0
CARDIOVASCULAR,33224,OTHER,3139,1461093.11,1160936.9
CARDIOVASCULAR,33225,TOTAL,35235,17386277.14,13833524.95
CARDIOVASCULAR,33225,80S,N/A,0,0
CARDIOVASCULAR,33225,OTHER,35235,17386277.14,13833524.95
CARDIOVASCULAR,33226,TOTAL,765,384597.28,305354.53
CARDIOVASCULAR,33226,OTHER,765,384597.28,305354.53
CARDIOVASCULAR,33233,TOTAL,62971,8419498.34,6677371.25
CARDIOVASCULAR,33233,80S,N/A,0,0
CARDIOVASCULAR,33233,SG,N/A,1582.24,1265.8
CARDIOVASCULAR,33233,OTHER,62971,8417916.1,6676105.45
CARDIOVASCULAR,33234,TOTAL,3817,1536971.96,1219687.15
CARDIOVASCULAR,33234,80S,N/A,0,0
CARDIOVASCULAR,33234,OTHER,3817,1536971.96,1219687.15
CARDIOVASCULAR,33235,TOTAL,3487,2075119.8,1651914.79
CARDIOVASCULAR,33235,80S,N/A,0,0
CARDIOVASCULAR,33235,OTHER,3487,2075119.8,1651914.79
CARDIOVASCULAR,33236,TOTAL,44,29550.08,23515.58
CARDIOVASCULAR,33236,80S,N/A,456.54,365.23
CARDIOVASCULAR,33236,OTHER,44,29093.54,23150.35
CARDIOVASCULAR,33237,TOTAL,56,41399.94,32995.94
CARDIOVASCULAR,33237,80S,N/A,429.27,343.41
CARDIOVASCULAR,33237,OTHER,56,40970.67,32652.53
CARDIOVASCULAR,33238,TOTAL,103,61486.44,48485.05
CARDIOVASCULAR,33238,80S,12,1007.62,806.09
CARDIOVASCULAR,33238,OTHER,91,60478.82,47678.96
CARDIOVASCULAR,33240,TOTAL,39245,21089321.98,16650467.72
CARDIOVASCULAR,33240,80S,N/A,0,0
CARDIOVASCULAR,33240,OTHER,39245,21089321.98,16650467.72
CARDIOVASCULAR,33241,TOTAL,46830,5858623.29,4633767.72
CARDIOVASCULAR,33241,80S,63,1636.74,1309.35
CARDIOVASCULAR,33241,SG,N/A,495.18,396.14
CARDIOVASCULAR,33241,OTHER,46767,5856491.37,4632062.23
CARDIOVASCULAR,33243,TOTAL,508,424700.52,338132.06
CARDIOVASCULAR,33243,80S,120,17099.84,13612.13
CARDIOVASCULAR,33243,OTHER,388,407600.68,324519.93
CARDIOVASCULAR,33244,TOTAL,6096,4581013.78,3636301.59
CARDIOVASCULAR,33244,80S,N/A,0,0
CARDIOVASCULAR,33244,OTHER,6096,4581013.78,3636301.59
CARDIOVASCULAR,33246,TOTAL,N/A,0,0
CARDIOVASCULAR,33246,OTHER,N/A,0,0
CARDIOVASCULAR,33249,TOTAL,59938,58783933.45,46704804.27
CARDIOVASCULAR,33249,80S,N/A,0,0
CARDIOVASCULAR,33249,OTHER,59938,58783933.45,46704804.27
CARDIOVASCULAR,33250,TOTAL,11,13716.3,10973.05
CARDIOVASCULAR,33250,80S,N/A,504.67,403.74
CARDIOVASCULAR,33250,OTHER,11,13211.63,10569.31
CARDIOVASCULAR,33251,TOTAL,123,72023.15,57618.48
CARDIOVASCULAR,33251,80S,50,6383.73,5106.99
CARDIOVASCULAR,33251,OTHER,73,65639.42,52511.49
CARDIOVASCULAR,33254,TOTAL,79,77480.41,61873.37
CARDIOVASCULAR,33254,80S,25,4903.51,3922.8
CARDIOVASCULAR,33254,OTHER,54,72576.9,57950.57
CARDIOVASCULAR,33255,TOTAL,119,148229.75,116577.01
CARDIOVASCULAR,33255,80S,32,7644.39,5912.19
CARDIOVASCULAR,33255,OTHER,87,140585.36,110664.82
CARDIOVASCULAR,33256,TOTAL,157,232718.8,185607.85
CARDIOVASCULAR,33256,80S,51,14990.75,11992.59
CARDIOVASCULAR,33256,OTHER,106,217728.05,173615.26
CARDIOVASCULAR,33257,TOTAL,6330,2533893.49,2018229.42
CARDIOVASCULAR,33257,80S,2480,219915.53,175317.51
CARDIOVASCULAR,33257,OTHER,3850,2313977.96,1842911.91
CARDIOVASCULAR,33258,TOTAL,174,77069.13,61655.22
CARDIOVASCULAR,33258,80S,69,6764.98,5411.92
CARDIOVASCULAR,33258,OTHER,105,70304.15,56243.3
CARDIOVASCULAR,33259,TOTAL,7635,4491854.12,3576339.37
CARDIOVASCULAR,33259,80S,2954,379750.78,303387.35
CARDIOVASCULAR,33259,OTHER,4681,4112103.34,3272952.02
CARDIOVASCULAR,33261,TOTAL,21,20787.41,16063.92
CARDIOVASCULAR,33261,80S,N/A,1194.19,955.36
CARDIOVASCULAR,33261,OTHER,21,19593.22,15108.56
CARDIOVASCULAR,33265,TOTAL,153,139385.61,108988.85
CARDIOVASCULAR,33265,80S,54,10226.92,7977.61
CARDIOVASCULAR,33265,OTHER,99,129158.69,101011.24
CARDIOVASCULAR,33266,TOTAL,241,341124.85,271228.6
CARDIOVASCULAR,33266,80S,61,16291.79,13033.42
CARDIOVASCULAR,33266,OTHER,180,324833.06,258195.18
CARDIOVASCULAR,33282,TOTAL,6107,2033292.91,1609345.95
CARDIOVASCULAR,33282,80S,N/A,0,0
CARDIOVASCULAR,33282,SG,N/A,14447.24,11557.79
CARDIOVASCULAR,33282,OTHER,6107,2018845.67,1597788.16
CARDIOVASCULAR,33284,TOTAL,2836,555389.35,435560.07
CARDIOVASCULAR,33284,SG,N/A,326.61,261.29
CARDIOVASCULAR,33284,OTHER,2836,555062.74,435298.78
CARDIOVASCULAR,33300,TOTAL,323,590955.73,469896.72
CARDIOVASCULAR,33300,80S,85,30840.9,24672.74
CARDIOVASCULAR,33300,OTHER,238,560114.83,445223.98
CARDIOVASCULAR,33305,TOTAL,318,875861.82,697904.39
CARDIOVASCULAR,33305,80S,117,72978.25,58382.61
