CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 01) Anesthesia (00000 - 09999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1609,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
ANESTHESIA,00100,TOTAL,11996,2733492.76,2162779.38
ANESTHESIA,00100,AA,3253,1049208.14,828805.32
ANESTHESIA,00100,AD,53,4846.03,3812.3
ANESTHESIA,00100,QK,3462,603896.87,477763.31
ANESTHESIA,00100,QZ,1450,444807.6,352306
ANESTHESIA,00100,OTHER,3778,630734.12,500092.45
ANESTHESIA,00102,TOTAL,66,12631.34,9947.92
ANESTHESIA,00102,AA,13,3909.4,3127.52
ANESTHESIA,00102,QK,23,3209.06,2470.51
ANESTHESIA,00102,QZ,N/A,1539.16,1231.33
ANESTHESIA,00102,OTHER,30,3973.72,3118.56
ANESTHESIA,00103,TOTAL,114555,17365083.86,13668409.41
ANESTHESIA,00103,AA,32960,6626973.78,5222765.95
ANESTHESIA,00103,AD,366,29479.24,23359.11
ANESTHESIA,00103,QK,22016,2261516.17,1778949.41
ANESTHESIA,00103,QZ,30609,5560085.41,4366268.63
ANESTHESIA,00103,OTHER,28604,2887029.26,2277066.31
ANESTHESIA,00104,TOTAL,174875,15140481.66,9626697.28
ANESTHESIA,00104,AA,84170,9375430.74,5932301.44
ANESTHESIA,00104,AD,287,20316.26,13667.16
ANESTHESIA,00104,QK,20470,1155505.39,747262.32
ANESTHESIA,00104,QZ,13835,1532949.21,953327.94
ANESTHESIA,00104,OTHER,56113,3056280.06,1980138.42
ANESTHESIA,00120,TOTAL,21710,4149228.49,3268151.31
ANESTHESIA,00120,AA,6232,1714567.87,1351580.41
ANESTHESIA,00120,AD,77,6680.1,4857.16
ANESTHESIA,00120,QK,5893,837091.84,657200.39
ANESTHESIA,00120,QZ,2664,646472.87,509594.21
ANESTHESIA,00120,OTHER,6844,944415.81,744919.14
ANESTHESIA,00124,TOTAL,984,95652.6,73983.79
ANESTHESIA,00124,AA,247,35020.93,27276.59
ANESTHESIA,00124,AD,N/A,346.48,213.25
ANESTHESIA,00124,QK,263,18057.43,13956.29
ANESTHESIA,00124,QZ,162,21009.96,16035.75
ANESTHESIA,00124,OTHER,312,21217.8,16501.91
ANESTHESIA,00126,TOTAL,11508,1054357.59,828395.35
ANESTHESIA,00126,AA,2866,376193.68,294964.6
ANESTHESIA,00126,AD,45,3759.02,2942.65
ANESTHESIA,00126,QK,3083,204368.27,160566.49
ANESTHESIA,00126,QZ,1777,222934.73,174965.8
ANESTHESIA,00126,OTHER,3737,247101.89,194955.81
ANESTHESIA,00140,TOTAL,134343,20168010.54,15920922.93
ANESTHESIA,00140,AA,43738,8434166.07,6676939.98
