CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1165,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PROCEDURES/PROFESSIONAL SERVICES,G0144,TOTAL,7948,239237.45,239231.85
PROCEDURES/PROFESSIONAL SERVICES,G0144,GLOBL,7948,239237.45,239231.85
PROCEDURES/PROFESSIONAL SERVICES,G0145,TOTAL,666796,24027628.91,24012677.62
PROCEDURES/PROFESSIONAL SERVICES,G0145,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0145,GLOBL,666796,24027628.91,24012677.62
PROCEDURES/PROFESSIONAL SERVICES,G0147,TOTAL,162,2640.6,2640.6
PROCEDURES/PROFESSIONAL SERVICES,G0147,GLOBL,162,2640.6,2640.6
PROCEDURES/PROFESSIONAL SERVICES,G0148,TOTAL,3391,72462.47,72434.2
PROCEDURES/PROFESSIONAL SERVICES,G0148,GLOBL,3391,72462.47,72434.2
PROCEDURES/PROFESSIONAL SERVICES,G0151,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0151,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0152,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0152,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0153,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0153,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0154,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0154,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0155,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0155,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0156,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0156,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0166,TOTAL,231259,35450674.49,28081733.7
PROCEDURES/PROFESSIONAL SERVICES,G0166,GLOBL,231259,35450674.49,28081733.7
PROCEDURES/PROFESSIONAL SERVICES,G0168,TOTAL,29588,858934.22,661747.73
PROCEDURES/PROFESSIONAL SERVICES,G0168,GLOBL,29588,858934.22,661747.73
PROCEDURES/PROFESSIONAL SERVICES,G0173,TOTAL,N/A,1058.39,846.71
PROCEDURES/PROFESSIONAL SERVICES,G0173,GLOBL,N/A,1058.39,846.71
PROCEDURES/PROFESSIONAL SERVICES,G0175,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0175,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0176,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0176,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0177,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0177,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0179,TOTAL,1466871.9,57629514.58,43341360.52
PROCEDURES/PROFESSIONAL SERVICES,G0179,GLOBL,1466871.9,57629514.58,43341360.52
PROCEDURES/PROFESSIONAL SERVICES,G0180,TOTAL,1470338.1,76546886.52,59255220.06
PROCEDURES/PROFESSIONAL SERVICES,G0180,GLOBL,1470338.1,76546886.52,59255220.06
PROCEDURES/PROFESSIONAL SERVICES,G0181,TOTAL,428885.9,44621460.27,35048278.83
PROCEDURES/PROFESSIONAL SERVICES,G0181,GLOBL,428885.9,44621460.27,35048278.83
PROCEDURES/PROFESSIONAL SERVICES,G0182,TOTAL,34012,3537340.9,2691439.09
PROCEDURES/PROFESSIONAL SERVICES,G0182,GLOBL,34012,3537340.9,2691439.09
PROCEDURES/PROFESSIONAL SERVICES,G0186,TOTAL,36,33891.51,26422.46
PROCEDURES/PROFESSIONAL SERVICES,G0186,GLOBL,36,33891.51,26422.46
PROCEDURES/PROFESSIONAL SERVICES,G0202,TOTAL,4826502.6,333757173.17,266169206.62
PROCEDURES/PROFESSIONAL SERVICES,G0202,26,3101013,109884301.44,87737023.98
PROCEDURES/PROFESSIONAL SERVICES,G0202,TC,209707,19471391.54,15528743.48
PROCEDURES/PROFESSIONAL SERVICES,G0202,GLOBL,1515782.6,204401480.19,162903439.16
PROCEDURES/PROFESSIONAL SERVICES,G0204,TOTAL,611593,50701832.59,36886088.01
PROCEDURES/PROFESSIONAL SERVICES,G0204,26,401400,17906829.67,12965812.14
PROCEDURES/PROFESSIONAL SERVICES,G0204,TC,19313,2088389.03,1517112.2
PROCEDURES/PROFESSIONAL SERVICES,G0204,GLOBL,190880,30706613.89,22403163.67
PROCEDURES/PROFESSIONAL SERVICES,G0206,TOTAL,748891,49016714.09,35262425.2
PROCEDURES/PROFESSIONAL SERVICES,G0206,26,493116,17566172.42,12651229.85
PROCEDURES/PROFESSIONAL SERVICES,G0206,TC,25914,2226913.86,1584221.54
PROCEDURES/PROFESSIONAL SERVICES,G0206,GLOBL,229861,29223627.81,21026973.81
PROCEDURES/PROFESSIONAL SERVICES,G0219,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0219,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0219,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0235,TOTAL,N/A,574.64,459.71
PROCEDURES/PROFESSIONAL SERVICES,G0235,26,N/A,574.64,459.71
PROCEDURES/PROFESSIONAL SERVICES,G0235,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0235,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0237,TOTAL,148539,1519544.72,1200290.9
PROCEDURES/PROFESSIONAL SERVICES,G0237,GLOBL,148539,1519544.72,1200290.9
PROCEDURES/PROFESSIONAL SERVICES,G0238,TOTAL,179669,1924933.93,1517137.15
PROCEDURES/PROFESSIONAL SERVICES,G0238,GLOBL,179669,1924933.93,1517137.15
PROCEDURES/PROFESSIONAL SERVICES,G0239,TOTAL,3541,41318.37,31131.69
PROCEDURES/PROFESSIONAL SERVICES,G0239,GLOBL,3541,41318.37,31131.69
PROCEDURES/PROFESSIONAL SERVICES,G0243,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0243,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0245,TOTAL,2472,154841.35,113130.12
PROCEDURES/PROFESSIONAL SERVICES,G0245,GLOBL,2472,154841.35,113130.12
PROCEDURES/PROFESSIONAL SERVICES,G0246,TOTAL,6691,244079.01,177404.14
PROCEDURES/PROFESSIONAL SERVICES,G0246,GLOBL,6691,244079.01,177404.14
PROCEDURES/PROFESSIONAL SERVICES,G0247,TOTAL,8315,344666.89,255490.95
PROCEDURES/PROFESSIONAL SERVICES,G0247,GLOBL,8315,344666.89,255490.95
PROCEDURES/PROFESSIONAL SERVICES,G0248,TOTAL,20266,3304090.15,2558681.24
PROCEDURES/PROFESSIONAL SERVICES,G0248,GLOBL,20266,3304090.15,2558681.24
PROCEDURES/PROFESSIONAL SERVICES,G0249,TOTAL,407944,61712457.07,48570966.41
PROCEDURES/PROFESSIONAL SERVICES,G0249,GLOBL,407944,61712457.07,48570966.41
PROCEDURES/PROFESSIONAL SERVICES,G0250,TOTAL,150210,1493177.64,1140560.45
PROCEDURES/PROFESSIONAL SERVICES,G0250,GLOBL,150210,1493177.64,1140560.45
PROCEDURES/PROFESSIONAL SERVICES,G0251,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0251,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0252,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0252,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0252,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0255,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0255,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0257,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0257,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0259,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0259,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0259,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0260,TOTAL,49677,12481299.06,9835881.45
PROCEDURES/PROFESSIONAL SERVICES,G0260,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0260,GLOBL,49677,12481299.06,9835881.45
PROCEDURES/PROFESSIONAL SERVICES,G0265,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0265,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0266,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0266,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0268,TOTAL,113796,5410080.25,4025597.76
PROCEDURES/PROFESSIONAL SERVICES,G0268,GLOBL,113796,5410080.25,4025597.76
PROCEDURES/PROFESSIONAL SERVICES,G0269,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0269,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0269,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0270,TOTAL,11407,256939.99,201254.37
PROCEDURES/PROFESSIONAL SERVICES,G0270,GLOBL,11407,256939.99,201254.37
PROCEDURES/PROFESSIONAL SERVICES,G0271,TOTAL,520,5876.29,4607.53
PROCEDURES/PROFESSIONAL SERVICES,G0271,GLOBL,520,5876.29,4607.53
PROCEDURES/PROFESSIONAL SERVICES,G0275,TOTAL,10913,150511.77,119640.59
PROCEDURES/PROFESSIONAL SERVICES,G0275,GLOBL,10913,150511.77,119640.59
PROCEDURES/PROFESSIONAL SERVICES,G0278,TOTAL,18857,265578.2,210587.28
PROCEDURES/PROFESSIONAL SERVICES,G0278,GLOBL,18857,265578.2,210587.28
PROCEDURES/PROFESSIONAL SERVICES,G0281,TOTAL,5618,69425.5,54986.26
PROCEDURES/PROFESSIONAL SERVICES,G0281,GLOBL,5618,69425.5,54986.26
PROCEDURES/PROFESSIONAL SERVICES,G0282,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0282,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0283,TOTAL,6269647.7,77939950.14,61316402.87
PROCEDURES/PROFESSIONAL SERVICES,G0283,GLOBL,6269647.7,77939950.14,61316402.87
PROCEDURES/PROFESSIONAL SERVICES,G0288,TOTAL,2409,262062.96,206656.14
PROCEDURES/PROFESSIONAL SERVICES,G0288,GLOBL,2409,262062.96,206656.14
PROCEDURES/PROFESSIONAL SERVICES,G0289,TOTAL,53137,4459521.53,3532060.3
PROCEDURES/PROFESSIONAL SERVICES,G0289,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0289,GLOBL,53137,4459521.53,3532060.3
PROCEDURES/PROFESSIONAL SERVICES,G0290,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0290,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0291,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0291,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0293,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0293,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0295,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0295,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0298,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0298,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0299,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0299,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0300,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0300,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0302,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0302,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0303,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0303,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0304,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0304,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0305,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0305,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0306,TOTAL,99020,1098213.35,1097323.44
PROCEDURES/PROFESSIONAL SERVICES,G0306,GLOBL,99020,1098213.35,1097323.44
PROCEDURES/PROFESSIONAL SERVICES,G0307,TOTAL,53160,480858.99,480751.11
PROCEDURES/PROFESSIONAL SERVICES,G0307,GLOBL,53160,480858.99,480751.11
PROCEDURES/PROFESSIONAL SERVICES,G0313,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0313,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0318,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0318,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0327,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0327,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0328,TOTAL,486135,10706873.47,10685468.58
PROCEDURES/PROFESSIONAL SERVICES,G0328,GLOBL,486135,10706873.47,10685468.58
PROCEDURES/PROFESSIONAL SERVICES,G0329,TOTAL,26,267.84,214.26
PROCEDURES/PROFESSIONAL SERVICES,G0329,GLOBL,26,267.84,214.26
PROCEDURES/PROFESSIONAL SERVICES,G0333,TOTAL,266788,15198824.58,11482111.18
PROCEDURES/PROFESSIONAL SERVICES,G0333,GLOBL,266788,15198824.58,11482111.18
PROCEDURES/PROFESSIONAL SERVICES,G0337,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0337,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0339,TOTAL,985,2686447.66,2144179.78
PROCEDURES/PROFESSIONAL SERVICES,G0339,GLOBL,985,2686447.66,2144179.78
PROCEDURES/PROFESSIONAL SERVICES,G0340,TOTAL,2328,5585052.69,4461004.01
PROCEDURES/PROFESSIONAL SERVICES,G0340,GLOBL,2328,5585052.69,4461004.01
PROCEDURES/PROFESSIONAL SERVICES,G0341,TOTAL,58,9600,7680
PROCEDURES/PROFESSIONAL SERVICES,G0341,GLOBL,58,9600,7680
PROCEDURES/PROFESSIONAL SERVICES,G0342,TOTAL,N/A,329,187.2
PROCEDURES/PROFESSIONAL SERVICES,G0342,GLOBL,N/A,329,187.2
PROCEDURES/PROFESSIONAL SERVICES,G0343,TOTAL,N/A,2620.47,1972.37
PROCEDURES/PROFESSIONAL SERVICES,G0343,GLOBL,N/A,2620.47,1972.37
PROCEDURES/PROFESSIONAL SERVICES,G0344,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0344,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0364,TOTAL,77770,808887.54,637822.84
PROCEDURES/PROFESSIONAL SERVICES,G0364,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0364,GLOBL,77770,808887.54,637822.84
PROCEDURES/PROFESSIONAL SERVICES,G0365,TOTAL,32150,3437686.3,2694863.77
PROCEDURES/PROFESSIONAL SERVICES,G0365,26,12497,154454.6,121364.55
PROCEDURES/PROFESSIONAL SERVICES,G0365,TC,641,99025.32,77723.02
PROCEDURES/PROFESSIONAL SERVICES,G0365,GLOBL,19012,3184206.38,2495776.2
PROCEDURES/PROFESSIONAL SERVICES,G0366,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0366,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0367,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0367,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0372,TOTAL,19032,201677.18,152280.6
PROCEDURES/PROFESSIONAL SERVICES,G0372,GLOBL,19032,201677.18,152280.6
PROCEDURES/PROFESSIONAL SERVICES,G0375,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0375,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0376,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0376,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0377,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0377,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0378,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0378,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0379,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0379,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0380,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0380,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0381,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0381,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0382,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0382,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0383,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0383,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0389,TOTAL,27975,2456114.21,1958422.44
PROCEDURES/PROFESSIONAL SERVICES,G0389,26,7507,223792.29,178663.77
PROCEDURES/PROFESSIONAL SERVICES,G0389,TC,2669,204481.23,163114.08
PROCEDURES/PROFESSIONAL SERVICES,G0389,GLOBL,17799,2027840.69,1616644.59
PROCEDURES/PROFESSIONAL SERVICES,G0390,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0390,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0393,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0393,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0394,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0394,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0396,TOTAL,9939,330182.4,255972.86
PROCEDURES/PROFESSIONAL SERVICES,G0396,GLOBL,9939,330182.4,255972.86
PROCEDURES/PROFESSIONAL SERVICES,G0397,TOTAL,2963,207655.8,161890.64
PROCEDURES/PROFESSIONAL SERVICES,G0397,GLOBL,2963,207655.8,161890.64
PROCEDURES/PROFESSIONAL SERVICES,G0398,TOTAL,2988,679135.39,538991.38
PROCEDURES/PROFESSIONAL SERVICES,G0398,26,400,35827.54,28385.5
PROCEDURES/PROFESSIONAL SERVICES,G0398,TC,410,66550.65,52435.32
PROCEDURES/PROFESSIONAL SERVICES,G0398,GLOBL,2178,576757.2,458170.56
PROCEDURES/PROFESSIONAL SERVICES,G0399,TOTAL,15177,2222838.72,1750749.4
PROCEDURES/PROFESSIONAL SERVICES,G0399,26,2045,168965.58,131473.62
PROCEDURES/PROFESSIONAL SERVICES,G0399,TC,7311,961692.55,755390.6
PROCEDURES/PROFESSIONAL SERVICES,G0399,GLOBL,5821,1092180.59,863885.18
PROCEDURES/PROFESSIONAL SERVICES,G0400,TOTAL,1218,214141.31,166841.44
PROCEDURES/PROFESSIONAL SERVICES,G0400,26,94,7508.22,5919.33
PROCEDURES/PROFESSIONAL SERVICES,G0400,TC,64,7632.19,6105.74
PROCEDURES/PROFESSIONAL SERVICES,G0400,GLOBL,1060,199000.9,154816.37
PROCEDURES/PROFESSIONAL SERVICES,G0402,TOTAL,118613,15170718.8,12091696.38
PROCEDURES/PROFESSIONAL SERVICES,G0402,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0402,GLOBL,118613,15170718.8,12091696.38
PROCEDURES/PROFESSIONAL SERVICES,G0403,TOTAL,59398,1189195.48,484310.05
PROCEDURES/PROFESSIONAL SERVICES,G0403,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0403,GLOBL,59398,1189195.48,484310.05
PROCEDURES/PROFESSIONAL SERVICES,G0404,TOTAL,3459,36714.85,14798.46
PROCEDURES/PROFESSIONAL SERVICES,G0404,GLOBL,3459,36714.85,14798.46
PROCEDURES/PROFESSIONAL SERVICES,G0405,TOTAL,8212,71375.18,31134.94
