CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,
"""2014 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1817,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PROCEDURES/PROFESSIONAL SERVICES,G0008,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0008,GLOBL,14443178.1,321535977.24000001,314758888.47000003,
PROCEDURES/PROFESSIONAL SERVICES,G0008,TOTAL,14443178.1,321535977.24000001,314758888.47000003,
PROCEDURES/PROFESSIONAL SERVICES,G0009,GLOBL,1969586,44244151.609999999,43276185.119999997,
PROCEDURES/PROFESSIONAL SERVICES,G0009,TOTAL,1969586,44244151.609999999,43276185.119999997,
PROCEDURES/PROFESSIONAL SERVICES,G0010,GLOBL,58793,1412430.14,1381841.6,
PROCEDURES/PROFESSIONAL SERVICES,G0010,TOTAL,58793,1412430.14,1381841.6,
PROCEDURES/PROFESSIONAL SERVICES,G0027,GLOBL,12,106.44,104.28,
PROCEDURES/PROFESSIONAL SERVICES,G0027,TOTAL,12,106.44,104.28,
PROCEDURES/PROFESSIONAL SERVICES,G0101,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0101,GLOBL,1048377,38796362.479999997,37965842.259999998,
PROCEDURES/PROFESSIONAL SERVICES,G0101,TOTAL,1048377,38796362.479999997,37965842.259999998,
PROCEDURES/PROFESSIONAL SERVICES,G0102,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0102,GLOBL,46645,887841.89,490927.3,
PROCEDURES/PROFESSIONAL SERVICES,G0102,TOTAL,46645,887841.89,490927.3,
PROCEDURES/PROFESSIONAL SERVICES,G0103,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0103,GLOBL,1320237,33063747.190000001,32350945.489999998,
PROCEDURES/PROFESSIONAL SERVICES,G0103,TOTAL,1320237,33063747.190000001,32350945.489999998,
PROCEDURES/PROFESSIONAL SERVICES,G0104,GLOBL,2316,182985.92,179124.1,
PROCEDURES/PROFESSIONAL SERVICES,G0104,TOTAL,2316,182985.92,179124.1,
PROCEDURES/PROFESSIONAL SERVICES,G0105,53,4800,300174.92,293384.14,
PROCEDURES/PROFESSIONAL SERVICES,G0105,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0105,GLOBL,357967,94241801.730000004,92178214.129999995,
PROCEDURES/PROFESSIONAL SERVICES,G0105,TOTAL,362767,94541976.650000006,92471598.269999996,
PROCEDURES/PROFESSIONAL SERVICES,G0106,26,12,584.61,458.31,
PROCEDURES/PROFESSIONAL SERVICES,G0106,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0106,GLOBL,28,6091.92,4776.09,
PROCEDURES/PROFESSIONAL SERVICES,G0106,TOTAL,40,6676.53,5234.4000000000005,
PROCEDURES/PROFESSIONAL SERVICES,G0108,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0108,GLOBL,120046,6357106.7000000002,4652964.12,
PROCEDURES/PROFESSIONAL SERVICES,G0108,TOTAL,120046,6357106.7000000002,4652964.12,
PROCEDURES/PROFESSIONAL SERVICES,G0109,GLOBL,105147.5,1541205.84,1143022.8,
PROCEDURES/PROFESSIONAL SERVICES,G0109,TOTAL,105147.5,1541205.84,1143022.8,
PROCEDURES/PROFESSIONAL SERVICES,G0117,GLOBL,344,17268.12,10473.27,
PROCEDURES/PROFESSIONAL SERVICES,G0117,TOTAL,344,17268.12,10473.27,
PROCEDURES/PROFESSIONAL SERVICES,G0118,GLOBL,N/A,413.23,261.55,
