,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges 39000 - 39599,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
39000,80'S,MEDIASTINUM,65,"$3,507.19 ","$2,750.01 "
,OTHER,,943,"$330,117.84 ","$262,442.00 "
,TOTAL,,"1,008","$333,625.03 ","$265,192.01 "
39010,80'S,,251,"$24,788.13 ","$19,630.16 "
,OTHER,,"2,507","$1,329,061.32 ","$1,056,651.11 "
,TOTAL,,"2,758","$1,353,849.45 ","$1,076,281.27 "
39200,80'S,,14,"$1,383.73 ","$1,106.98 "
,OTHER,,112,"$65,975.02 ","$52,466.04 "
,TOTAL,,126,"$67,358.75 ","$53,573.02 "
39220,80'S,,104,"$14,083.85 ","$11,135.81 "
,OTHER,,606,"$506,209.09 ","$401,976.40 "
,TOTAL,,710,"$520,292.94 ","$413,112.21 "
39400,80'S,,4,$272.34 ,$217.86 
,OTHER,,"13,690","$5,133,806.82 ","$4,074,002.13 "
,TOTAL,,"13,694","$5,134,079.16 ","$4,074,219.99 "
39499,OTHER,,21,"$8,676.77 ","$6,941.42 "
,TOTAL,,21,"$8,676.77 ","$6,941.42 "
39501,80'S,,40,"$3,561.68 ","$2,849.37 "
,OTHER,,344,"$165,659.68 ","$131,393.46 "
,TOTAL,,384,"$169,221.36 ","$134,242.83 "
39502,80'S,,676,"$92,889.42 ","$73,750.90 "
,OTHER,,"2,418","$1,956,430.66 ","$1,551,377.05 "
,TOTAL,,"3,094","$2,049,320.08 ","$1,625,127.95 "
39503,80'S,,1,$795.48 ,$636.38 
,OTHER,,6,"$15,037.76 ","$12,030.21 "
,TOTAL,,7,"$15,833.24 ","$12,666.59 "
39520,80'S,,102,"$11,388.41 ","$9,057.13 "
,OTHER,,375,"$256,268.23 ","$202,477.62 "
,TOTAL,,477,"$267,656.64 ","$211,534.75 "
39530,80'S,,32,"$3,512.91 ","$2,761.20 "
,OTHER,,110,"$72,372.60 ","$56,372.49 "
,TOTAL,,142,"$75,885.51 ","$59,133.69 "
39531,80'S,,2,$235.25 ,$176.45 
,OTHER,,15,"$11,289.14 ","$9,031.32 "
,TOTAL,,17,"$11,524.39 ","$9,207.77 "
39540,80'S,,23,"$2,326.04 ","$1,761.76 "
,OTHER,,89,"$50,469.30 ","$39,993.82 "
,TOTAL,,112,"$52,795.34 ","$41,755.58 "
39541,80'S,,61,"$6,426.30 ","$5,141.07 "
,OTHER,,224,"$142,722.12 ","$114,336.94 "
,TOTAL,,285,"$149,148.42 ","$119,478.01 "
39545,80'S,,22,"$2,295.26 ","$1,836.22 "
,OTHER,,137,"$87,270.63 ","$68,574.46 "
,TOTAL,,159,"$89,565.89 ","$70,410.68 "
39560,80'S,,82,"$5,551.71 ","$4,441.36 "
,OTHER,,395,"$159,929.80 ","$127,240.84 "
,TOTAL,,477,"$165,481.51 ","$131,682.20 "
39561,80'S,,53,"$6,649.64 ","$5,256.28 "
,OTHER,,208,"$149,696.60 ","$119,757.30 "
,TOTAL,,261,"$156,346.24 ","$125,013.58 "
39599,80'S,,102,"$16,539.96 ","$13,232.01 "
,OTHER,,448,"$362,184.83 ","$288,975.53 "
,TOTAL,,550,"$378,724.79 ","$302,207.54 "
