,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges 38100 - 38999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
38100,80'S,LYMPHATIC,"1,133","$130,591.82 ","$103,599.39 "
,OTHER,,"4,348","$2,893,753.30 ","$2,301,255.48 "
,TOTAL,,"5,481","$3,024,345.12 ","$2,404,854.87 "
38101,80'S,,15,"$1,484.72 ","$1,187.78 "
,OTHER,,47,"$29,508.43 ","$23,537.97 "
,TOTAL,,62,"$30,993.15 ","$24,725.75 "
38102,80'S,,155,"$6,494.12 ","$5,156.29 "
,OTHER,,661,"$168,156.24 ","$133,456.68 "
,TOTAL,,816,"$174,650.36 ","$138,612.97 "
38115,80'S,,59,"$4,899.43 ","$3,919.53 "
,OTHER,,255,"$156,071.92 ","$124,010.58 "
,TOTAL,,314,"$160,971.35 ","$127,930.11 "
38120,80'S,,370,"$56,891.86 ","$45,112.82 "
,OTHER,,"1,034","$966,979.95 ","$766,020.22 "
,TOTAL,,"1,404","$1,023,871.81 ","$811,133.04 "
38129,80'S,,3,$380.50 ,$304.40 
,OTHER,,17,"$6,612.02 ","$5,289.62 "
,TOTAL,,20,"$6,992.52 ","$5,594.02 "
38200,80'S,,1,$11.00 ,$8.80 
,OTHER,,29,"$2,876.65 ","$2,301.32 "
,TOTAL,,30,"$2,887.65 ","$2,310.12 "
38205,OTHER,,117,"$9,035.48 ","$7,261.58 "
,TOTAL,,117,"$9,035.48 ","$7,261.58 "
38206,OTHER,,"1,869","$155,787.23 ","$123,529.14 "
,TOTAL,,"1,869","$155,787.23 ","$123,529.14 "
38220,80'S,,224,"$1,235.31 ",$980.35 
,OTHER,,"69,942","$5,265,941.41 ","$4,155,634.41 "
,TOTAL,,"70,166","$5,267,176.72 ","$4,156,614.76 "
38221,80'S,,8,$56.47 ,$45.18 
,OTHER,,"142,412","$20,565,866.49 ","$16,218,707.24 "
,TOTAL,,"142,420","$20,565,922.96 ","$16,218,752.42 "
38230,80'S,,18,$528.88 ,$423.06 
,OTHER,,867,"$180,584.41 ","$144,093.18 "
,TOTAL,,885,"$181,113.29 ","$144,516.24 "
38240,OTHER,,224,"$28,791.40 ","$22,758.21 "
,TOTAL,,224,"$28,791.40 ","$22,758.21 "
38241,OTHER,,808,"$98,139.14 ","$77,608.26 "
,TOTAL,,808,"$98,139.14 ","$77,608.26 "
38242,OTHER,,33,"$3,135.83 ","$2,418.99 "
,TOTAL,,33,"$3,135.83 ","$2,418.99 "
38300,SG,,4,"$1,173.39 ",$938.71 
,OTHER,,"1,028","$207,805.55 ","$164,638.11 "
,TOTAL,,"1,032","$208,978.94 ","$165,576.82 "
38305,SG,,7,"$3,035.70 ","$2,348.57 "
,OTHER,,"6,061","$2,343,627.01 ","$1,870,998.14 "
,TOTAL,,"6,068","$2,346,662.71 ","$1,873,346.71 "
38308,SG,,7,"$2,881.89 ","$2,305.51 "
,80'S,,97,"$4,446.18 ","$3,556.83 "
,OTHER,,"1,410","$411,005.38 ","$325,315.41 "
,TOTAL,,"1,514","$418,333.45 ","$331,177.75 "
38380,80'S,,6,$379.70 ,$303.77 
,OTHER,,48,"$15,910.60 ","$12,724.11 "
,TOTAL,,54,"$16,290.30 ","$13,027.88 "
38381,80'S,,15,"$1,440.03 ","$1,152.00 "
,OTHER,,129,"$70,738.35 ","$55,992.86 "
,TOTAL,,144,"$72,178.38 ","$57,144.86 "
38382,80'S,,1,$48.53 ,$38.83 
,OTHER,,12,"$5,540.31 ","$4,432.25 "
,TOTAL,,13,"$5,588.84 ","$4,471.08 "
38500,SG,,974,"$381,612.83 ","$301,525.47 "
,80'S,,1,$17.80 ,$14.24 
,OTHER,,"13,487","$2,542,046.29 ","$2,007,977.17 "
,TOTAL,,"14,462","$2,923,676.92 ","$2,309,516.88 "
38505,SG,,93,"$27,429.09 ","$21,943.19 "
,80'S,,1,$7.05 ,$5.64 
,OTHER,,"7,839","$721,795.34 ","$565,794.31 "
,TOTAL,,"7,933","$749,231.48 ","$587,743.14 "
38510,SG,,998,"$419,683.82 ","$332,376.53 "
,OTHER,,"10,132","$3,615,520.31 ","$2,862,352.34 "
,TOTAL,,"11,130","$4,035,204.13 ","$3,194,728.87 "
38520,SG,,42,"$17,058.37 ","$13,333.14 "
,OTHER,,"1,083","$434,154.63 ","$344,267.62 "
,TOTAL,,"1,125","$451,213.00 ","$357,600.76 "
38525,SG,,"1,643","$524,987.26 ","$416,307.19 "
,80'S,,2,$55.23 ,$44.19 
,OTHER,,"28,665","$7,273,601.56 ","$5,773,130.82 "
,TOTAL,,"30,310","$7,798,644.05 ","$6,189,482.20 "
38530,SG,,8,"$2,880.11 ","$2,304.08 "
,80'S,,37,"$1,748.25 ","$1,398.54 "
,OTHER,,320,"$98,352.23 ","$78,238.73 "
,TOTAL,,365,"$102,980.59 ","$81,941.35 "
38542,SG,,56,"$22,174.33 ","$17,483.09 "
,80'S,,115,"$5,370.19 ","$4,267.07 "
,OTHER,,"1,199","$391,370.74 ","$310,748.50 "
,TOTAL,,"1,370","$418,915.26 ","$332,498.66 "
38550,SG,,8,"$3,673.90 ","$2,939.12 "
,80'S,,1,$39.93 ,$31.94 
,OTHER,,128,"$46,962.94 ","$37,295.37 "
,TOTAL,,137,"$50,676.77 ","$40,266.43 "
38555,SG,,1,$581.82 ,$465.46 
,80'S,,6,$820.31 ,$546.35 
,OTHER,,100,"$85,113.24 ","$66,517.05 "
,TOTAL,,107,"$86,515.37 ","$67,528.86 "
38562,80'S,,272,"$21,613.24 ","$17,142.56 "
,OTHER,,"1,317","$611,641.70 ","$486,590.70 "
,TOTAL,,"1,589","$633,254.94 ","$503,733.26 "
38564,80'S,,96,"$6,200.95 ","$4,919.36 "
,OTHER,,434,"$178,740.26 ","$142,912.36 "
,TOTAL,,530,"$184,941.21 ","$147,831.72 "
38570,80'S,,92,"$5,276.67 ","$4,217.94 "
,OTHER,,458,"$171,223.02 ","$135,454.38 "
,TOTAL,,550,"$176,499.69 ","$139,672.32 "
38571,SG,,1,"$1,102.82 ",$882.26 
,80'S,,338,"$26,517.86 ","$21,021.21 "
,OTHER,,"1,004","$499,896.33 ","$393,620.62 "
,TOTAL,,"1,343","$527,517.01 ","$415,524.09 "
38572,SG,,1,"$1,328.67 ","$1,062.94 "
,80'S,,59,"$7,432.57 ","$5,933.71 "
,OTHER,,219,"$143,887.70 ","$115,110.15 "
,TOTAL,,279,"$152,648.94 ","$122,106.80 "
38589,80'S,,5,$496.25 ,$397.01 
,OTHER,,52,"$19,284.64 ","$15,269.94 "
,TOTAL,,57,"$19,780.89 ","$15,666.95 "
38700,80'S,,146,"$11,654.55 ","$9,195.70 "
,OTHER,,873,"$416,975.33 ","$328,964.26 "
,TOTAL,,"1,019","$428,629.88 ","$338,159.96 "
38720,80'S,,211,"$28,297.21 ","$22,557.68 "
,OTHER,,963,"$794,129.75 ","$631,260.34 "
,TOTAL,,"1,174","$822,426.96 ","$653,818.02 "
38724,80'S,,752,"$104,394.85 ","$82,400.81 "
,OTHER,,"4,459","$3,806,339.69 ","$3,010,914.58 "
,TOTAL,,"5,211","$3,910,734.54 ","$3,093,315.39 "
38740,SG,,158,"$50,293.29 ","$39,991.43 "
,80'S,,209,"$18,606.83 ","$14,805.51 "
,OTHER,,"3,413","$1,844,343.06 ","$1,463,604.38 "
,TOTAL,,"3,780","$1,913,243.18 ","$1,518,401.32 "
38745,SG,,180,"$113,757.31 ","$90,441.77 "
,80'S,,365,"$43,325.93 ","$34,202.32 "
,OTHER,,"4,213","$2,907,459.62 ","$2,301,396.76 "
,TOTAL,,"4,758","$3,064,542.86 ","$2,426,040.85 "
38746,80'S,,"1,767","$76,032.45 ","$60,424.45 "
,OTHER,,"11,811","$2,819,176.81 ","$2,242,745.03 "
,TOTAL,,"13,578","$2,895,209.26 ","$2,303,169.48 "
38747,80'S,,395,"$17,596.90 ","$14,040.06 "
,OTHER,,"1,700","$435,088.61 ","$345,568.50 "
,TOTAL,,"2,095","$452,685.51 ","$359,608.56 "
38760,SG,,87,"$34,925.78 ","$27,635.87 "
,80'S,,142,"$15,567.62 ","$12,454.16 "
,OTHER,,"1,903","$1,313,662.45 ","$1,042,512.22 "
,TOTAL,,"2,132","$1,364,155.85 ","$1,082,602.25 "
38765,80'S,,28,"$4,315.65 ","$3,452.51 "
,OTHER,,245,"$243,930.08 ","$191,725.71 "
,TOTAL,,273,"$248,245.73 ","$195,178.22 "
