CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 27) National Codes Established for Private Payer Use (S0000 - S9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-453,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0020,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0020,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0023,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0023,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0028,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0028,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0030,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0030,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0032,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0032,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0073,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0073,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0077,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0077,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0078,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0078,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0092,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0092,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0109,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0109,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0140,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0140,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0145,TOTAL,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0145,,N/A,0,0
NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,S0148,TOTAL,N/A,0,0
