CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1073,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PROCEDURES/PROFESSIONAL SERVICES,G0008,TOTAL,13461309.2,281381174.25,281108709.96
PROCEDURES/PROFESSIONAL SERVICES,G0008,GLOBL,13461309.2,281381174.25,281108709.96
PROCEDURES/PROFESSIONAL SERVICES,G0009,TOTAL,1269841,27438360.53,27390866.6
PROCEDURES/PROFESSIONAL SERVICES,G0009,GLOBL,1269841,27438360.53,27390866.6
PROCEDURES/PROFESSIONAL SERVICES,G0010,TOTAL,30087,663684.61,661970.8
PROCEDURES/PROFESSIONAL SERVICES,G0010,GLOBL,30087,663684.61,661970.8
PROCEDURES/PROFESSIONAL SERVICES,G0027,TOTAL,506,4629.9,4629.9
PROCEDURES/PROFESSIONAL SERVICES,G0027,GLOBL,506,4629.9,4629.9
PROCEDURES/PROFESSIONAL SERVICES,G0101,TOTAL,1115660.5,40492978.69,40385847.21
PROCEDURES/PROFESSIONAL SERVICES,G0101,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0101,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0101,GLOBL,1115660.5,40492978.69,40385847.21
PROCEDURES/PROFESSIONAL SERVICES,G0102,TOTAL,33034,619596.67,340917.06
PROCEDURES/PROFESSIONAL SERVICES,G0102,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0102,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0102,GLOBL,33034,619596.67,340917.06
PROCEDURES/PROFESSIONAL SERVICES,G0103,TOTAL,1518375,39235640.32,39168207.12
PROCEDURES/PROFESSIONAL SERVICES,G0103,GLOBL,1518375,39235640.32,39168207.12
PROCEDURES/PROFESSIONAL SERVICES,G0104,TOTAL,2661,218919.68,217759.9
PROCEDURES/PROFESSIONAL SERVICES,G0104,GLOBL,2661,218919.68,217759.9
PROCEDURES/PROFESSIONAL SERVICES,G0105,TOTAL,343898,85698450.83,85382593.35
PROCEDURES/PROFESSIONAL SERVICES,G0105,53,3726,237154.75,236604.18
PROCEDURES/PROFESSIONAL SERVICES,G0105,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0105,GLOBL,340172,85461296.08,85145989.17
PROCEDURES/PROFESSIONAL SERVICES,G0106,TOTAL,57,6040.61,4732.72
PROCEDURES/PROFESSIONAL SERVICES,G0106,26,17,817.98,654.35
PROCEDURES/PROFESSIONAL SERVICES,G0106,GLOBL,40,5222.63,4078.37
PROCEDURES/PROFESSIONAL SERVICES,G0108,TOTAL,108138.5,5706372.16,4238353.16
PROCEDURES/PROFESSIONAL SERVICES,G0108,GLOBL,108138.5,5706372.16,4238353.16
PROCEDURES/PROFESSIONAL SERVICES,G0109,TOTAL,136143.5,2521374.12,1909556.1
PROCEDURES/PROFESSIONAL SERVICES,G0109,GLOBL,136143.5,2521374.12,1909556.1
PROCEDURES/PROFESSIONAL SERVICES,G0117,TOTAL,407,20055.05,12963.24
PROCEDURES/PROFESSIONAL SERVICES,G0117,GLOBL,407,20055.05,12963.24
PROCEDURES/PROFESSIONAL SERVICES,G0118,TOTAL,N/A,161.84,129.48
PROCEDURES/PROFESSIONAL SERVICES,G0118,GLOBL,N/A,161.84,129.48
PROCEDURES/PROFESSIONAL SERVICES,G0120,TOTAL,157,10667.63,8534.32
PROCEDURES/PROFESSIONAL SERVICES,G0120,26,125,6045.29,4836.43
PROCEDURES/PROFESSIONAL SERVICES,G0120,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0120,GLOBL,32,4622.34,3697.89
PROCEDURES/PROFESSIONAL SERVICES,G0121,TOTAL,299260,73728225.9,73461659.84
PROCEDURES/PROFESSIONAL SERVICES,G0121,53,4931,306685.88,305636.99
PROCEDURES/PROFESSIONAL SERVICES,G0121,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0121,GLOBL,294329,73421540.02,73156022.85
PROCEDURES/PROFESSIONAL SERVICES,G0122,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0122,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0122,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0123,TOTAL,255677,7016953.2,7013454.8
PROCEDURES/PROFESSIONAL SERVICES,G0123,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0123,GLOBL,255677,7016953.2,7013454.8
PROCEDURES/PROFESSIONAL SERVICES,G0124,TOTAL,65068,1880304.63,1822939.92
PROCEDURES/PROFESSIONAL SERVICES,G0124,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0124,GLOBL,65068,1880304.63,1822939.92
PROCEDURES/PROFESSIONAL SERVICES,G0127,TOTAL,757753,12306587.62,9084193.49
PROCEDURES/PROFESSIONAL SERVICES,G0127,GLOBL,757753,12306587.62,9084193.49
PROCEDURES/PROFESSIONAL SERVICES,G0128,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0128,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0129,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0129,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0130,TOTAL,358,11728.68,11698.42
PROCEDURES/PROFESSIONAL SERVICES,G0130,26,N/A,95.67,95.67
PROCEDURES/PROFESSIONAL SERVICES,G0130,TC,N/A,167.92,167.92
PROCEDURES/PROFESSIONAL SERVICES,G0130,GLOBL,358,11465.09,11434.83
PROCEDURES/PROFESSIONAL SERVICES,G0141,TOTAL,5325,155304.5,155160.08
PROCEDURES/PROFESSIONAL SERVICES,G0141,GLOBL,5325,155304.5,155160.08
PROCEDURES/PROFESSIONAL SERVICES,G0143,TOTAL,7174,202501.09,202392.8
PROCEDURES/PROFESSIONAL SERVICES,G0143,GLOBL,7174,202501.09,202392.8
PROCEDURES/PROFESSIONAL SERVICES,G0144,TOTAL,5018,149200.28,149200.28
PROCEDURES/PROFESSIONAL SERVICES,G0144,GLOBL,5018,149200.28,149200.28
PROCEDURES/PROFESSIONAL SERVICES,G0145,TOTAL,709589,25184458.2,25175644.34
