CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2909,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PATH/LAB,80196,GLOBL,1365,13616.41,13579.06
PATH/LAB,80197,TOTAL,260199,4915992.49,4862552.57
PATH/LAB,80197,26,N/A,0,0
PATH/LAB,80197,GLOBL,260199,4915992.49,4862552.57
PATH/LAB,80198,TOTAL,33310,652274.69,651217.95
PATH/LAB,80198,26,N/A,0,0
PATH/LAB,80198,GLOBL,33310,652274.69,651217.95
PATH/LAB,80200,TOTAL,5688,125948.41,125824.72
PATH/LAB,80200,GLOBL,5688,125948.41,125824.72
PATH/LAB,80201,TOTAL,8461,141803.34,141601.71
PATH/LAB,80201,GLOBL,8461,141803.34,141601.71
PATH/LAB,80202,TOTAL,125634,2261216.3,2257135.73
PATH/LAB,80202,26,N/A,0,0
PATH/LAB,80202,GLOBL,125634,2261216.3,2257135.73
PATH/LAB,80299,TOTAL,469763,8722403.32,8699782.22
PATH/LAB,80299,26,N/A,0,0
PATH/LAB,80299,GLOBL,469763,8722403.32,8699782.22
PATH/LAB,80400,TOTAL,1540,69950.82,69037.28
PATH/LAB,80400,GLOBL,1540,69950.82,69037.28
PATH/LAB,80402,TOTAL,N/A,459.08,459.08
PATH/LAB,80402,GLOBL,N/A,459.08,459.08
PATH/LAB,80406,TOTAL,N/A,110.14,110.14
PATH/LAB,80406,GLOBL,N/A,110.14,110.14
PATH/LAB,80408,TOTAL,58,2302.2,2302.2
PATH/LAB,80408,GLOBL,58,2302.2,2302.2
PATH/LAB,80410,TOTAL,2254,254859.78,254859.78
PATH/LAB,80410,GLOBL,2254,254859.78,254859.78
PATH/LAB,80412,TOTAL,N/A,2000.2,2000.2
PATH/LAB,80412,GLOBL,N/A,2000.2,2000.2
PATH/LAB,80414,TOTAL,25,1721.53,1700.14
PATH/LAB,80414,GLOBL,25,1721.53,1700.14
PATH/LAB,80415,TOTAL,218,17104.2,16947.51
PATH/LAB,80415,GLOBL,218,17104.2,16947.51
PATH/LAB,80416,TOTAL,N/A,0,0
PATH/LAB,80416,GLOBL,N/A,0,0
PATH/LAB,80417,TOTAL,N/A,86.9,86.9
PATH/LAB,80417,GLOBL,N/A,86.9,86.9
PATH/LAB,80418,TOTAL,136,107891.98,107891.98
PATH/LAB,80418,GLOBL,136,107891.98,107891.98
PATH/LAB,80420,TOTAL,N/A,101.38,101.38
PATH/LAB,80420,GLOBL,N/A,101.38,101.38
PATH/LAB,80422,TOTAL,15,970.65,970.65
PATH/LAB,80422,GLOBL,15,970.65,970.65
PATH/LAB,80424,TOTAL,3678,258175.94,257166.07
PATH/LAB,80424,GLOBL,3678,258175.94,257166.07
PATH/LAB,80426,TOTAL,17,3454.28,3454.28
PATH/LAB,80426,GLOBL,17,3454.28,3454.28
PATH/LAB,80428,TOTAL,44,4107.25,4107.25
PATH/LAB,80428,GLOBL,44,4107.25,4107.25
PATH/LAB,80430,TOTAL,23,2533.77,2533.77
PATH/LAB,80430,GLOBL,23,2533.77,2533.77
PATH/LAB,80432,TOTAL,277,52654.93,52654.93
PATH/LAB,80432,GLOBL,277,52654.93,52654.93
PATH/LAB,80434,TOTAL,510,72575.55,72575.55
PATH/LAB,80434,GLOBL,510,72575.55,72575.55
PATH/LAB,80435,TOTAL,N/A,143.85,143.85
PATH/LAB,80435,GLOBL,N/A,143.85,143.85
PATH/LAB,80438,TOTAL,509,36098.28,36098.28
PATH/LAB,80438,GLOBL,509,36098.28,36098.28
PATH/LAB,80439,TOTAL,N/A,567.36,567.36
PATH/LAB,80439,GLOBL,N/A,567.36,567.36
PATH/LAB,80440,TOTAL,N/A,391.15,391.15
PATH/LAB,80440,GLOBL,N/A,391.15,391.15
PATH/LAB,80500,TOTAL,101602,2078617.09,1557672.24
PATH/LAB,80500,26,N/A,0,0
PATH/LAB,80500,GLOBL,101602,2078617.09,1557672.24
PATH/LAB,80502,TOTAL,24262,1551732.48,1212913.63
PATH/LAB,80502,26,N/A,0,0
PATH/LAB,80502,GLOBL,24262,1551732.48,1212913.63
PATH/LAB,81000,TOTAL,3664395.4,16292187.52,16162056.14
PATH/LAB,81000,26,N/A,0,0
PATH/LAB,81000,TC,N/A,0,0
PATH/LAB,81000,GLOBL,3664395.4,16292187.52,16162056.14
PATH/LAB,81001,TOTAL,7001096.1,31136974,31009831.22
PATH/LAB,81001,26,N/A,0,0
PATH/LAB,81001,GLOBL,7001096.1,31136974,31009831.22
PATH/LAB,81002,TOTAL,4411433.7,15730850.93,15622304.5
PATH/LAB,81002,26,N/A,0,0
PATH/LAB,81002,TC,N/A,0,0
PATH/LAB,81002,GLOBL,4411433.7,15730850.93,15622304.5
PATH/LAB,81003,TOTAL,5191955.8,16369810.98,16278774.39
PATH/LAB,81003,26,N/A,0,0
PATH/LAB,81003,TC,N/A,0,0
PATH/LAB,81003,GLOBL,5191955.8,16369810.98,16278774.39
PATH/LAB,81005,TOTAL,126614,381541.36,379429.11
PATH/LAB,81005,GLOBL,126614,381541.36,379429.11
PATH/LAB,81007,TOTAL,2077,7413.29,7364.59
PATH/LAB,81007,GLOBL,2077,7413.29,7364.59
PATH/LAB,81015,TOTAL,117120,494630.61,492660.51
PATH/LAB,81015,26,N/A,0,0
PATH/LAB,81015,GLOBL,117120,494630.61,492660.51
PATH/LAB,81020,TOTAL,3079,15933.97,15816.64
PATH/LAB,81020,GLOBL,3079,15933.97,15816.64
PATH/LAB,81025,TOTAL,66028,552264.13,546956.3
PATH/LAB,81025,26,N/A,0,0
PATH/LAB,81025,GLOBL,66028,552264.13,546956.3
PATH/LAB,81050,TOTAL,68844,288271.65,285913.7
PATH/LAB,81050,GLOBL,68844,288271.65,285913.7
PATH/LAB,81099,TOTAL,89,696.18,656.47
PATH/LAB,81099,GLOBL,89,696.18,656.47
PATH/LAB,82000,TOTAL,34,522.17,522.17
PATH/LAB,82000,GLOBL,34,522.17,522.17
PATH/LAB,82003,TOTAL,7614,185675.28,184847.73
PATH/LAB,82003,26,N/A,0,0
PATH/LAB,82003,GLOBL,7614,185675.28,184847.73
PATH/LAB,82009,TOTAL,1857,11582.77,11473.35
PATH/LAB,82009,26,N/A,0,0
PATH/LAB,82009,GLOBL,1857,11582.77,11473.35
PATH/LAB,82010,TOTAL,1541,17189.25,17166.08
PATH/LAB,82010,26,N/A,0,0
PATH/LAB,82010,GLOBL,1541,17189.25,17166.08
PATH/LAB,82013,TOTAL,39,561.06,561.06
PATH/LAB,82013,GLOBL,39,561.06,561.06
PATH/LAB,82016,TOTAL,N/A,19.51,19.51
PATH/LAB,82016,GLOBL,N/A,19.51,19.51
PATH/LAB,82017,TOTAL,126,2901.69,2824.47
PATH/LAB,82017,GLOBL,126,2901.69,2824.47
PATH/LAB,82024,TOTAL,38320,2062511.52,2056398.23
PATH/LAB,82024,GLOBL,38320,2062511.52,2056398.23
PATH/LAB,82030,TOTAL,831,27666.36,27562.86
PATH/LAB,82030,GLOBL,831,27666.36,27562.86
PATH/LAB,82040,TOTAL,673788,1528363.46,1523766.96
PATH/LAB,82040,26,N/A,0,0
PATH/LAB,82040,GLOBL,673788,1528363.46,1523766.96
PATH/LAB,82042,TOTAL,18828,127094.54,125966.96
PATH/LAB,82042,GLOBL,18828,127094.54,125966.96
PATH/LAB,82043,TOTAL,2650522,19780334.96,19725262.83
PATH/LAB,82043,26,N/A,0,0
PATH/LAB,82043,GLOBL,2650522,19780334.96,19725262.83
PATH/LAB,82044,TOTAL,568146,3207879.96,3184401.68
PATH/LAB,82044,26,N/A,0,0
PATH/LAB,82044,GLOBL,568146,3207879.96,3184401.68
PATH/LAB,82045,TOTAL,789,31575.51,31551.57
PATH/LAB,82045,GLOBL,789,31575.51,31551.57
PATH/LAB,82055,TOTAL,302607,4581399.58,4553660
PATH/LAB,82055,26,N/A,0,0
PATH/LAB,82055,GLOBL,302607,4581399.58,4553660
PATH/LAB,82075,TOTAL,2191,37129.48,36643.15
PATH/LAB,82075,GLOBL,2191,37129.48,36643.15
PATH/LAB,82085,TOTAL,65427,889453.47,887624.67
PATH/LAB,82085,GLOBL,65427,889453.47,887624.67
PATH/LAB,82088,TOTAL,38541,2197326.3,2193430.22
PATH/LAB,82088,GLOBL,38541,2197326.3,2193430.22
PATH/LAB,82101,TOTAL,16910,711337.28,707380.15
PATH/LAB,82101,GLOBL,16910,711337.28,707380.15
PATH/LAB,82103,TOTAL,28727,537106.64,535912.47
PATH/LAB,82103,GLOBL,28727,537106.64,535912.47
PATH/LAB,82104,TOTAL,6082,123068.54,122753.59
PATH/LAB,82104,GLOBL,6082,123068.54,122753.59
PATH/LAB,82105,TOTAL,118977,2788841.63,2784129.06
PATH/LAB,82105,26,N/A,0,0
PATH/LAB,82105,GLOBL,118977,2788841.63,2784129.06
PATH/LAB,82106,TOTAL,220,5143.68,5143.68
PATH/LAB,82106,GLOBL,220,5143.68,5143.68
PATH/LAB,82107,TOTAL,4550,384020.83,383010.4
PATH/LAB,82107,GLOBL,4550,384020.83,383010.4
PATH/LAB,82108,TOTAL,5148,182075.87,180675.34
PATH/LAB,82108,GLOBL,5148,182075.87,180675.34
PATH/LAB,82120,TOTAL,3459,17326.24,17116.53
PATH/LAB,82120,GLOBL,3459,17326.24,17116.53
PATH/LAB,82127,TOTAL,2771,54062.21,54042.7
PATH/LAB,82127,GLOBL,2771,54062.21,54042.7
PATH/LAB,82128,TOTAL,N/A,78.04,78.04
PATH/LAB,82128,GLOBL,N/A,78.04,78.04
PATH/LAB,82131,TOTAL,17259,408831.08,407213.36
PATH/LAB,82131,GLOBL,17259,408831.08,407213.36
PATH/LAB,82135,TOTAL,209,4835.08,4811.92
PATH/LAB,82135,GLOBL,209,4835.08,4811.92
PATH/LAB,82136,TOTAL,16420,297510,297291.25
PATH/LAB,82136,GLOBL,16420,297510,297291.25
PATH/LAB,82139,TOTAL,6475,134416.18,133793.98
PATH/LAB,82139,GLOBL,6475,134416.18,133793.98
PATH/LAB,82140,TOTAL,136677,2772980.96,2768898.36
PATH/LAB,82140,26,N/A,0,0
PATH/LAB,82140,GLOBL,136677,2772980.96,2768898.36
PATH/LAB,82143,TOTAL,N/A,67.52,67.52
PATH/LAB,82143,GLOBL,N/A,67.52,67.52
PATH/LAB,82145,TOTAL,772379,16425213.34,16389066.75
PATH/LAB,82145,GLOBL,772379,16425213.34,16389066.75
PATH/LAB,82150,TOTAL,563936,5140738.39,5123438.86
PATH/LAB,82150,26,N/A,0,0
PATH/LAB,82150,GLOBL,563936,5140738.39,5123438.86
PATH/LAB,82154,TOTAL,336,13395.5,13395.5
PATH/LAB,82154,GLOBL,336,13395.5,13395.5
PATH/LAB,82157,TOTAL,6578,265477.08,265203.77
PATH/LAB,82157,GLOBL,6578,265477.08,265203.77
PATH/LAB,82160,TOTAL,979,30203.43,30095.47
PATH/LAB,82160,GLOBL,979,30203.43,30095.47
PATH/LAB,82163,TOTAL,96,2745.48,2725.75
PATH/LAB,82163,GLOBL,96,2745.48,2725.75
PATH/LAB,82164,TOTAL,39509,804779.57,802640.49
PATH/LAB,82164,GLOBL,39509,804779.57,802640.49
PATH/LAB,82172,TOTAL,447696,9476181.48,9469690.36
PATH/LAB,82172,GLOBL,447696,9476181.48,9469690.36
PATH/LAB,82175,TOTAL,15668,412042.85,410986.22
PATH/LAB,82175,GLOBL,15668,412042.85,410986.22
PATH/LAB,82180,TOTAL,11306,155912.96,155861.26
PATH/LAB,82180,GLOBL,11306,155912.96,155861.26
PATH/LAB,82190,TOTAL,117,1629.32,1629.32
PATH/LAB,82190,GLOBL,117,1629.32,1629.32
PATH/LAB,82205,TOTAL,354006,5695819.54,5677725.56
PATH/LAB,82205,GLOBL,354006,5695819.54,5677725.56
PATH/LAB,82232,TOTAL,152813,3458872.42,3450021.33
PATH/LAB,82232,GLOBL,152813,3458872.42,3450021.33
PATH/LAB,82239,TOTAL,7838,175922.36,175776.61
PATH/LAB,82239,GLOBL,7838,175922.36,175776.61
PATH/LAB,82240,TOTAL,3967,148013.68,148013.68
PATH/LAB,82240,GLOBL,3967,148013.68,148013.68
PATH/LAB,82247,TOTAL,659505,1167219.52,1164086.4
PATH/LAB,82247,26,N/A,0,0
PATH/LAB,82247,GLOBL,659505,1167219.52,1164086.4
PATH/LAB,82248,TOTAL,1717692,3758242.89,3752143.15
PATH/LAB,82248,26,N/A,0,0
PATH/LAB,82248,GLOBL,1717692,3758242.89,3752143.15
PATH/LAB,82252,TOTAL,71,268.2,268.2
PATH/LAB,82252,GLOBL,71,268.2,268.2
PATH/LAB,82261,TOTAL,62,1371.11,1358.57
PATH/LAB,82261,GLOBL,62,1371.11,1358.57
PATH/LAB,82270,TOTAL,824120.2,3731567.62,3714421.87
PATH/LAB,82270,26,N/A,0,0
PATH/LAB,82270,GLOBL,824120.2,3731567.62,3714421.87
PATH/LAB,82271,TOTAL,7509,34280.59,33834.01
PATH/LAB,82271,26,N/A,0,0
PATH/LAB,82271,GLOBL,7509,34280.59,33834.01
PATH/LAB,82272,TOTAL,236420,1072951.58,1068678.36
PATH/LAB,82272,26,N/A,0,0
PATH/LAB,82272,GLOBL,236420,1072951.58,1068678.36
PATH/LAB,82274,TOTAL,396115,8693305.44,8658327.41
PATH/LAB,82274,GLOBL,396115,8693305.44,8658327.41
PATH/LAB,82300,TOTAL,5582,174443.62,174031.09
PATH/LAB,82300,GLOBL,5582,174443.62,174031.09
PATH/LAB,82306,TOTAL,5478685,225065642.8,224752042.37
PATH/LAB,82306,26,N/A,0,0
PATH/LAB,82306,GLOBL,5478685,225065642.8,224752042.37
PATH/LAB,82307,TOTAL,N/A,0,0
PATH/LAB,82307,GLOBL,N/A,0,0
PATH/LAB,82308,TOTAL,11858,446176.67,445013.03
PATH/LAB,82308,GLOBL,11858,446176.67,445013.03
PATH/LAB,82310,TOTAL,704907,2235714.85,2229491.35
PATH/LAB,82310,26,N/A,0,0
PATH/LAB,82310,GLOBL,704907,2235714.85,2229491.35
PATH/LAB,82330,TOTAL,131542,860069.96,858989.29
PATH/LAB,82330,26,N/A,0,0
PATH/LAB,82330,GLOBL,131542,860069.96,858989.29
PATH/LAB,82331,TOTAL,145,1055.6,1055.6
PATH/LAB,82331,GLOBL,145,1055.6,1055.6
PATH/LAB,82340,TOTAL,77000,642037.81,640464.97
PATH/LAB,82340,26,N/A,0,0
PATH/LAB,82340,GLOBL,77000,642037.81,640464.97
PATH/LAB,82355,TOTAL,8584,134855.23,134673.55
PATH/LAB,82355,26,N/A,0,0
PATH/LAB,82355,GLOBL,8584,134855.23,134673.55
PATH/LAB,82360,TOTAL,11956,206026.17,205350.41
PATH/LAB,82360,26,N/A,0,0
PATH/LAB,82360,GLOBL,11956,206026.17,205350.41
PATH/LAB,82365,TOTAL,15251,253578.1,253264.78
PATH/LAB,82365,26,N/A,0,0
PATH/LAB,82365,GLOBL,15251,253578.1,253264.78
PATH/LAB,82370,TOTAL,1413,24908.28,24862.1
PATH/LAB,82370,GLOBL,1413,24908.28,24862.1
PATH/LAB,82373,TOTAL,250,6098.46,6058.12
PATH/LAB,82373,GLOBL,250,6098.46,6058.12
PATH/LAB,82374,TOTAL,91398,127889.99,127395.65
PATH/LAB,82374,26,N/A,0,0
PATH/LAB,82374,GLOBL,91398,127889.99,127395.65
PATH/LAB,82375,TOTAL,10863,171671.86,170583.32
PATH/LAB,82375,26,N/A,0,0
PATH/LAB,82375,GLOBL,10863,171671.86,170583.32
PATH/LAB,82376,TOTAL,246,2073.58,2073.58
PATH/LAB,82376,GLOBL,246,2073.58,2073.58
PATH/LAB,82378,TOTAL,708934,18920275.63,18857186.4
PATH/LAB,82378,26,N/A,0,0
PATH/LAB,82378,GLOBL,708934,18920275.63,18857186.4
PATH/LAB,82379,TOTAL,3497,81015,80896.71
PATH/LAB,82379,26,N/A,0,0
PATH/LAB,82379,GLOBL,3497,81015,80896.71
PATH/LAB,82380,TOTAL,4630,60071.8,59925.67
PATH/LAB,82380,GLOBL,4630,60071.8,59925.67
PATH/LAB,82382,TOTAL,3574,83655.54,83356.57
PATH/LAB,82382,GLOBL,3574,83655.54,83356.57
PATH/LAB,82383,TOTAL,85,2985.87,2985.87
PATH/LAB,82383,GLOBL,85,2985.87,2985.87
PATH/LAB,82384,TOTAL,18862,663662.45,662477.63
PATH/LAB,82384,GLOBL,18862,663662.45,662477.63
PATH/LAB,82387,TOTAL,14,272.64,272.64
PATH/LAB,82387,GLOBL,14,272.64,272.64
PATH/LAB,82390,TOTAL,25545,381869.79,380923.09
PATH/LAB,82390,GLOBL,25545,381869.79,380923.09
PATH/LAB,82397,TOTAL,14659,270975.41,269889.91
PATH/LAB,82397,GLOBL,14659,270975.41,269889.91
PATH/LAB,82415,TOTAL,N/A,53.49,53.49
PATH/LAB,82415,GLOBL,N/A,53.49,53.49
PATH/LAB,82435,TOTAL,251110,311883.3,311283.08
PATH/LAB,82435,26,N/A,0,0
PATH/LAB,82435,GLOBL,251110,311883.3,311283.08
PATH/LAB,82436,TOTAL,36360,250558.5,250269.3
PATH/LAB,82436,26,N/A,0,0
PATH/LAB,82436,GLOBL,36360,250558.5,250269.3
PATH/LAB,82438,TOTAL,344,2295.72,2289.2
PATH/LAB,82438,GLOBL,344,2295.72,2289.2
PATH/LAB,82441,TOTAL,34,286.85,286.85
PATH/LAB,82441,GLOBL,34,286.85,286.85
PATH/LAB,82465,TOTAL,575653,1670890.03,1668451.05
PATH/LAB,82465,26,N/A,0,0
PATH/LAB,82465,GLOBL,575653,1670890.03,1668451.05
PATH/LAB,82480,TOTAL,457,4914.76,4862.06
PATH/LAB,82480,GLOBL,457,4914.76,4862.06
PATH/LAB,82482,TOTAL,1127,12090.21,12090.21
PATH/LAB,82482,GLOBL,1127,12090.21,12090.21
PATH/LAB,82485,TOTAL,N/A,51.36,51.36
PATH/LAB,82485,GLOBL,N/A,51.36,51.36
PATH/LAB,82486,TOTAL,10527,266025.1,263506.96
PATH/LAB,82486,GLOBL,10527,266025.1,263506.96
PATH/LAB,82487,TOTAL,251,5639.97,5602.77
PATH/LAB,82487,GLOBL,251,5639.97,5602.77
PATH/LAB,82489,TOTAL,296,7678.86,7678.86
PATH/LAB,82489,GLOBL,296,7678.86,7678.86
PATH/LAB,82491,TOTAL,100317,2515785.83,2513076.43
PATH/LAB,82491,GLOBL,100317,2515785.83,2513076.43
PATH/LAB,82492,TOTAL,141617,3594101.87,3562638.01
PATH/LAB,82492,GLOBL,141617,3594101.87,3562638.01
PATH/LAB,82495,TOTAL,7918,208290.63,208255.88
PATH/LAB,82495,GLOBL,7918,208290.63,208255.88
PATH/LAB,82507,TOTAL,36880,951816.25,949651.72
PATH/LAB,82507,GLOBL,36880,951816.25,949651.72
PATH/LAB,82520,TOTAL,534089,11244618.45,11219608.59
PATH/LAB,82520,GLOBL,534089,11244618.45,11219608.59
PATH/LAB,82523,TOTAL,69942,1493436.88,1492240.37
PATH/LAB,82523,GLOBL,69942,1493436.88,1492240.37
PATH/LAB,82525,TOTAL,25577,431670.14,430629.22
PATH/LAB,82525,GLOBL,25577,431670.14,430629.22
PATH/LAB,82528,TOTAL,479,14555.52,14464.8
PATH/LAB,82528,GLOBL,479,14555.52,14464.8
PATH/LAB,82530,TOTAL,36907,863319.39,861653.09
PATH/LAB,82530,26,N/A,0,0
PATH/LAB,82530,GLOBL,36907,863319.39,861653.09
PATH/LAB,82533,TOTAL,197622,4516883.6,4503087.42
PATH/LAB,82533,26,N/A,0,0
PATH/LAB,82533,GLOBL,197622,4516883.6,4503087.42
PATH/LAB,82540,TOTAL,10800,70358.5,70127
PATH/LAB,82540,GLOBL,10800,70358.5,70127
PATH/LAB,82541,TOTAL,123269,3123047.04,3120739.78
PATH/LAB,82541,GLOBL,123269,3123047.04,3120739.78
PATH/LAB,82542,TOTAL,1507561,37382666.8,37170821.46
PATH/LAB,82542,GLOBL,1507561,37382666.8,37170821.46
PATH/LAB,82543,TOTAL,25492,645998.4,645870.03
PATH/LAB,82543,GLOBL,25492,645998.4,645870.03
PATH/LAB,82544,TOTAL,131037,3329537.63,3297288.16
PATH/LAB,82544,GLOBL,131037,3329537.63,3297288.16
PATH/LAB,82550,TOTAL,2428039,12408683.84,12378265.43
PATH/LAB,82550,26,N/A,0,0
PATH/LAB,82550,GLOBL,2428039,12408683.84,12378265.43
PATH/LAB,82552,TOTAL,28859,532023.2,531492.45
PATH/LAB,82552,26,N/A,0,0
PATH/LAB,82552,GLOBL,28859,532023.2,531492.45
PATH/LAB,82553,TOTAL,88261,1224110.48,1217267
PATH/LAB,82553,26,N/A,0,0
PATH/LAB,82553,GLOBL,88261,1224110.48,1217267
PATH/LAB,82554,TOTAL,148,2198.44,2198.44
PATH/LAB,82554,GLOBL,148,2198.44,2198.44
PATH/LAB,82565,TOTAL,2288621,7510621.05,7476957.52
PATH/LAB,82565,26,N/A,0,0
PATH/LAB,82565,GLOBL,2288621,7510621.05,7476957.52
PATH/LAB,82570,TOTAL,4716522,34024377.42,33856665.93
PATH/LAB,82570,26,N/A,0,0
PATH/LAB,82570,GLOBL,4716522,34024377.42,33856665.93
PATH/LAB,82575,TOTAL,96875,1276046.24,1271511.82
PATH/LAB,82575,GLOBL,96875,1276046.24,1271511.82
