CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-329,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
EVALUATION AND MANAGEMENT,99201,TOTAL,414965.1,15925460.52,10806579.26
EVALUATION AND MANAGEMENT,99201,,414965.1,15925460.52,10806579.26
EVALUATION AND MANAGEMENT,99202,TOTAL,3072633.9,210045751.75,142097163.77
EVALUATION AND MANAGEMENT,99202,,3072633.9,210045751.75,142097163.77
EVALUATION AND MANAGEMENT,99203,TOTAL,9479315.3,955752231.12,663786846.85
EVALUATION AND MANAGEMENT,99203,,9479315.3,955752231.12,663786846.85
EVALUATION AND MANAGEMENT,99204,TOTAL,8570727.7,1339686101.09,961895033.93
EVALUATION AND MANAGEMENT,99204,,8570727.7,1339686101.09,961895033.93
EVALUATION AND MANAGEMENT,99205,TOTAL,3146795.2,613063429.79,455593105.78
EVALUATION AND MANAGEMENT,99205,,3146795.2,613063429.79,455593105.78
EVALUATION AND MANAGEMENT,99211,TOTAL,7544097.1,147241049.18,103893360.41
EVALUATION AND MANAGEMENT,99211,,7544097.1,147241049.18,103893360.41
EVALUATION AND MANAGEMENT,99212,TOTAL,18501854.7,745346946.94,530140084.26
EVALUATION AND MANAGEMENT,99212,,18501854.7,745346946.94,530140084.26
EVALUATION AND MANAGEMENT,99213,TOTAL,100268652.2,6790211816.94,4709558960.68
EVALUATION AND MANAGEMENT,99213,,100268652.2,6790211816.94,4709558960.68
EVALUATION AND MANAGEMENT,99214,TOTAL,81310973.8,8175639964.48,5710149881.25
EVALUATION AND MANAGEMENT,99214,,81310973.8,8175639964.48,5710149881.25
EVALUATION AND MANAGEMENT,99215,TOTAL,9694388.1,1316879153.56,935217434.74
EVALUATION AND MANAGEMENT,99215,,9694388.1,1316879153.56,935217434.74
EVALUATION AND MANAGEMENT,99217,TOTAL,850157,58311028.99,45571236.09
EVALUATION AND MANAGEMENT,99217,,850157,58311028.99,45571236.09
EVALUATION AND MANAGEMENT,99218,TOTAL,118313,7503160.62,5778527.97
EVALUATION AND MANAGEMENT,99218,,118313,7503160.62,5778527.97
EVALUATION AND MANAGEMENT,99219,TOTAL,418376,44551280.28,34236602.35
EVALUATION AND MANAGEMENT,99219,,418376,44551280.28,34236602.35
EVALUATION AND MANAGEMENT,99220,TOTAL,684277.2,102373631.06,79026818.51
EVALUATION AND MANAGEMENT,99220,,684277.2,102373631.06,79026818.51
EVALUATION AND MANAGEMENT,99221,TOTAL,1945614.3,189139554.64,148287703.97
EVALUATION AND MANAGEMENT,99221,,1945614.3,189139554.64,148287703.97
EVALUATION AND MANAGEMENT,99222,TOTAL,7506126.7,1002020918.93,784273298.43
EVALUATION AND MANAGEMENT,99222,,7506126.7,1002020918.93,784273298.43
EVALUATION AND MANAGEMENT,99223,TOTAL,11771924.5,2309383654.87,1813667113.89
EVALUATION AND MANAGEMENT,99223,,11771924.5,2309383654.87,1813667113.89
EVALUATION AND MANAGEMENT,99224,TOTAL,78264,2149541.13,1689100.71
EVALUATION AND MANAGEMENT,99224,,78264,2149541.13,1689100.71
EVALUATION AND MANAGEMENT,99225,TOTAL,250475,12242327.13,9646772.3
EVALUATION AND MANAGEMENT,99225,,250475,12242327.13,9646772.3
EVALUATION AND MANAGEMENT,99226,TOTAL,88982,6534122.22,5153258.29
EVALUATION AND MANAGEMENT,99226,,88982,6534122.22,5153258.29
EVALUATION AND MANAGEMENT,99231,TOTAL,12406607.3,476566436.37,377167207.65
EVALUATION AND MANAGEMENT,99231,,12406607.3,476566436.37,377167207.65
