CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18117,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
CARDIOVASCULAR,33010,TOTAL,4475,495547.65,390925.49
CARDIOVASCULAR,33010,80S,N/A,0,0
CARDIOVASCULAR,33010,OTHER,4475,495547.65,390925.49
CARDIOVASCULAR,33011,TOTAL,70,7674.56,6139.6
CARDIOVASCULAR,33011,OTHER,70,7674.56,6139.6
CARDIOVASCULAR,33015,TOTAL,636,313613.7,248879.19
CARDIOVASCULAR,33015,80S,N/A,0,0
CARDIOVASCULAR,33015,OTHER,636,313613.7,248879.19
CARDIOVASCULAR,33020,TOTAL,298,155625.53,123632.99
CARDIOVASCULAR,33020,80S,84,7652.28,6121.76
CARDIOVASCULAR,33020,OTHER,214,147973.25,117511.23
CARDIOVASCULAR,33025,TOTAL,7122,4543022.27,3615038.11
CARDIOVASCULAR,33025,80S,1669,189690.07,151081.76
CARDIOVASCULAR,33025,OTHER,5453,4353332.2,3463956.35
CARDIOVASCULAR,33030,TOTAL,683,571830.26,454466.73
CARDIOVASCULAR,33030,80S,202,31459.41,24960.76
CARDIOVASCULAR,33030,OTHER,481,540370.85,429505.97
CARDIOVASCULAR,33031,TOTAL,368,259767.62,207005.34
CARDIOVASCULAR,33031,80S,120,16472.8,13129.54
CARDIOVASCULAR,33031,OTHER,248,243294.82,193875.8
CARDIOVASCULAR,33050,TOTAL,127,72308.98,57027.76
CARDIOVASCULAR,33050,80S,34,3663.68,2930.95
CARDIOVASCULAR,33050,OTHER,93,68645.3,54096.81
CARDIOVASCULAR,33120,TOTAL,1021,885151.58,704933.55
CARDIOVASCULAR,33120,80S,367,65895.75,52316.11
CARDIOVASCULAR,33120,OTHER,654,819255.83,652617.44
CARDIOVASCULAR,33130,TOTAL,57,40458.6,32366.89
CARDIOVASCULAR,33130,80S,20,3018.8,2415.05
CARDIOVASCULAR,33130,OTHER,37,37439.8,29951.84
CARDIOVASCULAR,33140,TOTAL,71,81285.87,62018.13
CARDIOVASCULAR,33140,80S,24,5529.81,4241.75
CARDIOVASCULAR,33140,OTHER,47,75756.06,57776.38
CARDIOVASCULAR,33141,TOTAL,1152,112222.73,89236.65
CARDIOVASCULAR,33141,80S,420,8578.26,6826.29
CARDIOVASCULAR,33141,OTHER,732,103644.47,82410.36
CARDIOVASCULAR,33202,TOTAL,2352,1473208.56,1171408.89
CARDIOVASCULAR,33202,80S,N/A,0,0
CARDIOVASCULAR,33202,OTHER,2352,1473208.56,1171408.89
CARDIOVASCULAR,33203,TOTAL,208,165101.45,130805.99
CARDIOVASCULAR,33203,80S,N/A,0,0
CARDIOVASCULAR,33203,OTHER,208,165101.45,130805.99
CARDIOVASCULAR,33206,TOTAL,1336,637341.13,506358.85
CARDIOVASCULAR,33206,80S,N/A,0,0
CARDIOVASCULAR,33206,OTHER,1336,637341.13,506358.85
CARDIOVASCULAR,33207,TOTAL,23601,11640560.62,9270461.22
CARDIOVASCULAR,33207,80S,N/A,0,0
CARDIOVASCULAR,33207,OTHER,23601,11640560.62,9270461.22
CARDIOVASCULAR,33208,TOTAL,116955,63715785.52,50645382.7
CARDIOVASCULAR,33208,80S,N/A,0,0
CARDIOVASCULAR,33208,OTHER,116955,63715785.52,50645382.7
CARDIOVASCULAR,33210,TOTAL,21214,2953483.66,2342423.17
CARDIOVASCULAR,33210,80S,N/A,0,0
CARDIOVASCULAR,33210,OTHER,21214,2953483.66,2342423.17
CARDIOVASCULAR,33211,TOTAL,759,104610.31,83109.94
CARDIOVASCULAR,33211,80S,N/A,0,0
CARDIOVASCULAR,33211,OTHER,759,104610.31,83109.94
CARDIOVASCULAR,33212,TOTAL,10998,4351543.04,3445722.41
