CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,
,,,,,
"2012 Part B National Summary Data File
Code Range: 01) Anesthesia (00000 - 09999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1593,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
ANESTHESIA,00100,TOTAL,12263,2804190.89,2215504.66
ANESTHESIA,00100,AA,3184,1057004.79,834588.36
ANESTHESIA,00100,AD,50,5221.42,4173.73
ANESTHESIA,00100,QK,3527,613256.8,482708.34
ANESTHESIA,00100,QZ,1511,458069.94,362706.31
ANESTHESIA,00100,OTHER,3991,670637.94,531327.92
ANESTHESIA,00102,TOTAL,73,17205.56,13553.13
ANESTHESIA,00102,AA,N/A,2422.25,1937.79
ANESTHESIA,00102,QK,11,1434.6,1147.68
ANESTHESIA,00102,QZ,N/A,1959.98,1567.98
ANESTHESIA,00102,OTHER,62,11388.73,8899.68
ANESTHESIA,00103,TOTAL,121607,18517307.99,14587678.19
ANESTHESIA,00103,AA,35833,7068037.92,5574028.07
ANESTHESIA,00103,AD,232,18998.08,15183.78
ANESTHESIA,00103,QK,22994,2363438.55,1858428.85
ANESTHESIA,00103,QZ,33424,6118975.6,4809855.69
ANESTHESIA,00103,OTHER,29124,2947857.84,2330181.8
ANESTHESIA,00104,TOTAL,186068,16091631.12,10700470.99
ANESTHESIA,00104,AA,86280,9558004.8,6342653.72
ANESTHESIA,00104,AD,184,14597.43,10115.3
ANESTHESIA,00104,QK,22895,1293149.29,867088.29
ANESTHESIA,00104,QZ,18467,2039752.64,1346502.31
ANESTHESIA,00104,OTHER,58242,3186126.96,2134111.37
ANESTHESIA,00120,TOTAL,22742,4448652.05,3507217.5
ANESTHESIA,00120,AA,6318,1802995.13,1422166.67
ANESTHESIA,00120,AD,78,7969.2,6215.31
ANESTHESIA,00120,QK,6452,946205.61,742743.13
ANESTHESIA,00120,QZ,2510,633486.65,499919.62
ANESTHESIA,00120,OTHER,7384,1057995.46,836172.77
ANESTHESIA,00124,TOTAL,989,95599.71,73529.23
ANESTHESIA,00124,AA,240,32805.65,25273.99
ANESTHESIA,00124,AD,N/A,517.43,413.94
ANESTHESIA,00124,QK,254,17438.09,13499.46
ANESTHESIA,00124,QZ,177,23047.77,17615.64
ANESTHESIA,00124,OTHER,318,21790.77,16726.2
ANESTHESIA,00126,TOTAL,12085,1101343.74,863731.74
ANESTHESIA,00126,AA,2805,368511.07,288922.62
ANESTHESIA,00126,AD,40,3290.31,2566.83
ANESTHESIA,00126,QK,3292,219249.51,171642.66
ANESTHESIA,00126,QZ,1944,246651.51,193591.97
ANESTHESIA,00126,OTHER,4004,263641.34,207007.66
ANESTHESIA,00140,TOTAL,138636,20488024.77,16185472.98
ANESTHESIA,00140,AA,42460,8199171.89,6486911.07
ANESTHESIA,00140,AD,321,27117.35,21531.47
ANESTHESIA,00140,QK,26937,2833161.37,2232124.77
ANESTHESIA,00140,QZ,33474,5788190.8,4562155.83
ANESTHESIA,00140,OTHER,35444,3640383.36,2882749.84
ANESTHESIA,00142,TOTAL,2081513,214340129.33,169222792.12
ANESTHESIA,00142,AA,583180,77370041.72,61119859.5
ANESTHESIA,00142,AD,6172,510915.2,405003.51
ANESTHESIA,00142,QK,367223,24991449.38,19714998.62
ANESTHESIA,00142,QZ,644344,79224342.96,62470715.76
ANESTHESIA,00142,OTHER,480594,32243380.07,25512214.73
ANESTHESIA,00144,TOTAL,26460,4607187.09,3631817.19
ANESTHESIA,00144,AA,5954,1493780.72,1179903.32
ANESTHESIA,00144,AD,63,5325.23,4107.52
ANESTHESIA,00144,QK,6737,867744.5,680741.55
ANESTHESIA,00144,QZ,5333,1179859.41,926568.81
ANESTHESIA,00144,OTHER,8373,1060477.23,840495.99
ANESTHESIA,00145,TOTAL,132107,22905610.79,18101415.7
ANESTHESIA,00145,AA,39063,9270009.73,7321176.82
ANESTHESIA,00145,AD,337,26894.79,21213.78
ANESTHESIA,00145,QK,32377,4032024.66,3181544.07
ANESTHESIA,00145,QZ,21328,4759598.23,3757173.11
ANESTHESIA,00145,OTHER,39002,4817083.38,3820307.92
ANESTHESIA,00147,TOTAL,880,129561.6,101371.48
ANESTHESIA,00147,AA,339,60667.23,47446.01
ANESTHESIA,00147,AD,N/A,167.12,133.7
ANESTHESIA,00147,QK,150,13803.43,10774.29
ANESTHESIA,00147,QZ,188,36523.78,28898.2
ANESTHESIA,00147,OTHER,203,18400.04,14119.28
ANESTHESIA,00148,TOTAL,1310,122546.32,95721.16
