CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,
,,,,,
"2012 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-3054,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PATH/LAB,80047,TOTAL,144441,1611500.92,1599667.82
PATH/LAB,80047,26,N/A,0,0
PATH/LAB,80047,GLOBL,144441,1611500.92,1599667.82
PATH/LAB,80048,TOTAL,8833618.1,88296312.25,88074939.94
PATH/LAB,80048,26,N/A,0,0
PATH/LAB,80048,TC,N/A,0,0
PATH/LAB,80048,GLOBL,8833618.1,88296312.25,88074939.94
PATH/LAB,80050,TOTAL,113,111.02,110.02
PATH/LAB,80050,26,N/A,0,0
PATH/LAB,80050,GLOBL,113,111.02,110.02
PATH/LAB,80051,TOTAL,592148,2805489.97,2798589.14
PATH/LAB,80051,26,N/A,0,0
PATH/LAB,80051,GLOBL,592148,2805489.97,2798589.14
PATH/LAB,80053,TOTAL,28168215.4,327942849.98,327126290.73
PATH/LAB,80053,26,N/A,0,0
PATH/LAB,80053,TC,N/A,0,0
PATH/LAB,80053,GLOBL,28168215.4,327942849.98,327126290.73
PATH/LAB,80055,TOTAL,N/A,0,0
PATH/LAB,80055,GLOBL,N/A,0,0
PATH/LAB,80061,TOTAL,20692374,303501446.6,302780569.51
PATH/LAB,80061,26,N/A,0,0
PATH/LAB,80061,TC,N/A,0,0
PATH/LAB,80061,GLOBL,20692374,303501446.6,302780569.51
PATH/LAB,80069,TOTAL,945024,10249583.39,10212241.96
PATH/LAB,80069,26,N/A,0,0
PATH/LAB,80069,GLOBL,945024,10249583.39,10212241.96
PATH/LAB,80074,TOTAL,120154,7994094.23,7980029.12
PATH/LAB,80074,26,N/A,0,0
PATH/LAB,80074,GLOBL,120154,7994094.23,7980029.12
PATH/LAB,80076,TOTAL,2641880,21060685.85,20985846.33
PATH/LAB,80076,26,N/A,0,0
PATH/LAB,80076,GLOBL,2641880,21060685.85,20985846.33
PATH/LAB,80100,TOTAL,22,22,22
PATH/LAB,80100,GLOBL,22,22,22
PATH/LAB,80101,TOTAL,121,121,121
PATH/LAB,80101,26,N/A,0,0
PATH/LAB,80101,GLOBL,121,121,121
PATH/LAB,80102,TOTAL,629884,11799189.75,11745713.1
PATH/LAB,80102,GLOBL,629884,11799189.75,11745713.1
PATH/LAB,80103,TOTAL,N/A,0,0
PATH/LAB,80103,GLOBL,N/A,0,0
PATH/LAB,80104,TOTAL,16,16,12.8
PATH/LAB,80104,26,N/A,0,0
PATH/LAB,80104,GLOBL,16,16,12.8
PATH/LAB,80150,TOTAL,4962,103875.21,103875.21
PATH/LAB,80150,GLOBL,4962,103875.21,103875.21
PATH/LAB,80152,TOTAL,220329,5582250.53,5557314.09
PATH/LAB,80152,GLOBL,220329,5582250.53,5557314.09
PATH/LAB,80154,TOTAL,1452031,37859116.24,37659189.76
PATH/LAB,80154,TC,N/A,0,0
PATH/LAB,80154,GLOBL,1452031,37859116.24,37659189.76
PATH/LAB,80156,TOTAL,112226,2290602.11,2287927.96
PATH/LAB,80156,26,N/A,0,0
PATH/LAB,80156,GLOBL,112226,2290602.11,2287927.96
PATH/LAB,80157,TOTAL,1879,35008.86,34911.06
PATH/LAB,80157,GLOBL,1879,35008.86,34911.06
PATH/LAB,80158,TOTAL,47986,1202215.63,1190329.46
PATH/LAB,80158,26,N/A,0,0
PATH/LAB,80158,GLOBL,47986,1202215.63,1190329.46
PATH/LAB,80160,TOTAL,208306,5078209.17,5056674.45
PATH/LAB,80160,GLOBL,208306,5078209.17,5056674.45
PATH/LAB,80162,TOTAL,412608,7756031.49,7750092.07
PATH/LAB,80162,26,N/A,0,0
PATH/LAB,80162,GLOBL,412608,7756031.49,7750092.07
PATH/LAB,80164,TOTAL,400048,7324376.54,7319765.38
PATH/LAB,80164,26,N/A,0,0
PATH/LAB,80164,GLOBL,400048,7324376.54,7319765.38
