CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,
,,,,,
"2012 Part B National Summary Data File
Code Range: 05) Medicine (90000 - 99199, 99500 - 99999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1923,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
MEDICINE,90281,TOTAL,30,30,21.6
MEDICINE,90281,,30,30,21.6
MEDICINE,90283,TOTAL,26,26,20.8
MEDICINE,90283,,26,26,20.8
MEDICINE,90284,TOTAL,N/A,0,0
MEDICINE,90284,,N/A,0,0
MEDICINE,90288,TOTAL,N/A,0,0
MEDICINE,90288,,N/A,0,0
MEDICINE,90291,TOTAL,N/A,0,0
MEDICINE,90291,,N/A,0,0
MEDICINE,90296,TOTAL,N/A,0,0
MEDICINE,90296,,N/A,0,0
MEDICINE,90371,TOTAL,81,8443.52,6369.32
MEDICINE,90371,,81,8443.52,6369.32
MEDICINE,90375,TOTAL,402.5,72162.53,55733.61
MEDICINE,90375,,402.5,72162.53,55733.61
MEDICINE,90376,TOTAL,458,82283.41,65235.02
MEDICINE,90376,,458,82283.41,65235.02
MEDICINE,90378,TOTAL,N/A,0.06,0.06
MEDICINE,90378,,N/A,0.06,0.06
MEDICINE,90384,TOTAL,N/A,7,5.6
MEDICINE,90384,,N/A,7,5.6
MEDICINE,90385,TOTAL,N/A,175.09,140.06
MEDICINE,90385,,N/A,175.09,140.06
MEDICINE,90386,TOTAL,N/A,0,0
MEDICINE,90386,,N/A,0,0
MEDICINE,90389,TOTAL,N/A,0,0
MEDICINE,90389,,N/A,0,0
MEDICINE,90393,TOTAL,N/A,0,0
MEDICINE,90393,,N/A,0,0
MEDICINE,90396,TOTAL,N/A,1248.12,998.5
MEDICINE,90396,,N/A,1248.12,998.5
MEDICINE,90399,TOTAL,N/A,1,0.8
MEDICINE,90399,,N/A,1,0.8
MEDICINE,90460,TOTAL,569,12279.66,8647.4
MEDICINE,90460,,569,12279.66,8647.4
MEDICINE,90461,TOTAL,42,504.55,344.85
MEDICINE,90461,,42,504.55,344.85
MEDICINE,90465,TOTAL,N/A,0,0
MEDICINE,90465,,N/A,0,0
MEDICINE,90470,TOTAL,N/A,0,0
MEDICINE,90470,,N/A,0,0
MEDICINE,90471,TOTAL,626064.6,14582123.18,10217870.22
MEDICINE,90471,,626064.6,14582123.18,10217870.22
MEDICINE,90472,TOTAL,24594,290594.5,203893.21
MEDICINE,90472,,24594,290594.5,203893.21
MEDICINE,90473,TOTAL,36,711.88,488.23
MEDICINE,90473,,36,711.88,488.23
MEDICINE,90474,TOTAL,N/A,58.7,37.83
MEDICINE,90474,,N/A,58.7,37.83
MEDICINE,90476,TOTAL,N/A,0,0
MEDICINE,90476,,N/A,0,0
MEDICINE,90477,TOTAL,N/A,0,0
MEDICINE,90477,,N/A,0,0
MEDICINE,90581,TOTAL,N/A,0,0
MEDICINE,90581,,N/A,0,0
MEDICINE,90585,TOTAL,N/A,16.2,12.96
MEDICINE,90585,,N/A,16.2,12.96
MEDICINE,90586,TOTAL,247,28996.27,22823.87
MEDICINE,90586,,247,28996.27,22823.87
MEDICINE,90632,TOTAL,393,20396.34,14565.84
MEDICINE,90632,,393,20396.34,14565.84
MEDICINE,90633,TOTAL,N/A,0,0
MEDICINE,90633,,N/A,0,0
MEDICINE,90634,TOTAL,N/A,0,0
MEDICINE,90634,,N/A,0,0
MEDICINE,90636,TOTAL,N/A,152.61,122.09
MEDICINE,90636,,N/A,152.61,122.09
MEDICINE,90644,TOTAL,N/A,0,0
MEDICINE,90644,,N/A,0,0
MEDICINE,90645,TOTAL,N/A,0,0
MEDICINE,90645,,N/A,0,0
MEDICINE,90646,TOTAL,N/A,0,0
MEDICINE,90646,,N/A,0,0
MEDICINE,90647,TOTAL,N/A,25.96,20.77
MEDICINE,90647,,N/A,25.96,20.77
MEDICINE,90648,TOTAL,N/A,0,0
MEDICINE,90648,,N/A,0,0
MEDICINE,90649,TOTAL,N/A,0,0
MEDICINE,90649,,N/A,0,0
MEDICINE,90650,TOTAL,N/A,253.38,202.71
MEDICINE,90650,,N/A,253.38,202.71
