CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,
,,,,,
"2012 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1378,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PROCEDURES/PROFESSIONAL SERVICES,G0008,TOTAL,13487145.8,289633955.62,289308204.73
PROCEDURES/PROFESSIONAL SERVICES,G0008,26,N/A,20.52,20.52
PROCEDURES/PROFESSIONAL SERVICES,G0008,GLOBL,13487145.8,289633935.1,289308184.21
PROCEDURES/PROFESSIONAL SERVICES,G0009,TOTAL,1374806.5,30448164.82,30387446.46
PROCEDURES/PROFESSIONAL SERVICES,G0009,GLOBL,1374806.5,30448164.82,30387446.46
PROCEDURES/PROFESSIONAL SERVICES,G0010,TOTAL,42396,957285.51,955586.1
PROCEDURES/PROFESSIONAL SERVICES,G0010,GLOBL,42396,957285.51,955586.1
PROCEDURES/PROFESSIONAL SERVICES,G0027,TOTAL,463,4264.23,4264.23
PROCEDURES/PROFESSIONAL SERVICES,G0027,GLOBL,463,4264.23,4264.23
PROCEDURES/PROFESSIONAL SERVICES,G0101,TOTAL,1106980,40308550.79,40253397.63
PROCEDURES/PROFESSIONAL SERVICES,G0101,GLOBL,1106980,40308550.79,40253397.63
PROCEDURES/PROFESSIONAL SERVICES,G0102,TOTAL,40337,742213.43,423331.92
PROCEDURES/PROFESSIONAL SERVICES,G0102,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0102,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0102,GLOBL,40337,742213.43,423331.92
PROCEDURES/PROFESSIONAL SERVICES,G0103,TOTAL,1393740,36248845.68,36186730.28
PROCEDURES/PROFESSIONAL SERVICES,G0103,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0103,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0103,GLOBL,1393740,36248845.68,36186730.28
PROCEDURES/PROFESSIONAL SERVICES,G0104,TOTAL,2726,224307.34,223495.72
PROCEDURES/PROFESSIONAL SERVICES,G0104,GLOBL,2726,224307.34,223495.72
PROCEDURES/PROFESSIONAL SERVICES,G0105,TOTAL,369924,93457445.36,93270355.83
PROCEDURES/PROFESSIONAL SERVICES,G0105,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0105,53,4055,256221.89,255752.9
PROCEDURES/PROFESSIONAL SERVICES,G0105,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0105,GLOBL,365869,93201223.47,93014602.93
PROCEDURES/PROFESSIONAL SERVICES,G0106,TOTAL,217,8446.03,6725.45
PROCEDURES/PROFESSIONAL SERVICES,G0106,26,14,660.3,506.47
PROCEDURES/PROFESSIONAL SERVICES,G0106,TC,N/A,157.35,125.88
PROCEDURES/PROFESSIONAL SERVICES,G0106,GLOBL,203,7628.38,6093.1
PROCEDURES/PROFESSIONAL SERVICES,G0108,TOTAL,111686,5822539.11,4360613.22
PROCEDURES/PROFESSIONAL SERVICES,G0108,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0108,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0108,GLOBL,111686,5822539.11,4360613.22
PROCEDURES/PROFESSIONAL SERVICES,G0109,TOTAL,128656.5,2073804.17,1576706.12
PROCEDURES/PROFESSIONAL SERVICES,G0109,GLOBL,128656.5,2073804.17,1576706.12
