Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 59000 - 59899,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
59000,OTHER,MATERNITY,876,"$94,604.74 ","$72,472.64 "
,TOTAL,,876,"$94,604.74 ","$72,472.64 "
59001,OTHER,,20,"$3,601.63 ","$2,793.31 "
,TOTAL,,20,"$3,601.63 ","$2,793.31 "
59012,OTHER,,5,$985.25 ,$788.21 
,TOTAL,,5,$985.25 ,$788.21 
59015,OTHER,,30,"$4,308.48 ","$3,239.43 "
,TOTAL,,30,"$4,308.48 ","$3,239.43 "
59020,OTHER,,68,"$2,749.25 ","$2,152.32 "
,TOTAL,,68,"$2,749.25 ","$2,152.32 "
59025,OTHER,,"14,622","$497,082.94 ","$376,719.41 "
,TOTAL,,"14,622","$497,082.94 ","$376,719.41 "
59030,OTHER,,2,$240.34 ,$192.28 
,TOTAL,,2,$240.34 ,$192.28 
59050,OTHER,,9,$496.79 ,$397.43 
,TOTAL,,9,$496.79 ,$397.43 
59051,OTHER,,90,"$3,802.70 ","$2,930.58 "
,TOTAL,,90,"$3,802.70 ","$2,930.58 "
59070,OTHER,,5,"$1,171.36 ",$937.08 
,TOTAL,,5,"$1,171.36 ",$937.08 
59072,OTHER,,1,$200.00 ,$160.00 
,TOTAL,,1,$200.00 ,$160.00 
59074,OTHER,,3,$780.06 ,$624.05 
,TOTAL,,3,$780.06 ,$624.05 
59100,OTHER,,20,"$10,249.33 ","$7,423.74 "
,TOTAL,,20,"$10,249.33 ","$7,423.74 "
59120,80'S,,9,"$1,068.71 ",$751.02 
,OTHER,,67,"$48,678.11 ","$37,551.86 "
,TOTAL,,76,"$49,746.82 ","$38,302.88 "
59121,OTHER,,5,"$3,508.08 ","$2,797.66 "
,TOTAL,,5,"$3,508.08 ","$2,797.66 "
59130,OTHER,,1,$394.69 ,$315.75 
,TOTAL,,1,$394.69 ,$315.75 
59136,80'S,,1,$129.78 ,$103.82 
,OTHER,,2,"$1,660.63 ","$1,328.50 "
,TOTAL,,3,"$1,790.41 ","$1,432.32 "
59150,80'S,,5,$603.16 ,$482.52 
,OTHER,,32,"$22,055.94 ","$17,644.75 "
,TOTAL,,37,"$22,659.10 ","$18,127.27 "
59151,80'S,,9,"$1,060.22 ",$848.16 
,OTHER,,98,"$70,473.79 ","$54,569.73 "
,TOTAL,,107,"$71,534.01 ","$55,417.89 "
59160,SG,,1,$504.36 ,$403.49 
,OTHER,,79,"$13,923.87 ","$10,992.07 "
,TOTAL,,80,"$14,428.23 ","$11,395.56 "
59200,OTHER,,275,"$18,476.71 ","$14,294.65 "
,TOTAL,,275,"$18,476.71 ","$14,294.65 "
59300,80'S,,1,$42.68 ,$34.14 
,OTHER,,42,"$4,408.89 ","$3,366.67 "
,TOTAL,,43,"$4,451.57 ","$3,400.81 "
59320,SG,,4,"$1,287.90 ","$1,030.33 "
,OTHER,,92,"$14,139.30 ","$11,020.09 "
,TOTAL,,96,"$15,427.20 ","$12,050.42 "
59350,80'S,,1,$42.49 ,$33.99 
,OTHER,,5,"$1,514.80 ","$1,211.85 "
,TOTAL,,6,"$1,557.29 ","$1,245.84 "
59400,OTHER,,"3,588","$5,709,056.84 ","$4,441,280.37 "
,TOTAL,,"3,588","$5,709,056.84 ","$4,441,280.37 "
59409,OTHER,,"1,285","$1,045,560.90 ","$826,435.49 "
,TOTAL,,"1,285","$1,045,560.90 ","$826,435.49 "
59410,OTHER,,"1,186","$1,073,882.10 ","$845,553.08 "
,TOTAL,,"1,186","$1,073,882.10 ","$845,553.08 "
59412,OTHER,,29,"$3,081.87 ","$2,448.10 "
,TOTAL,,29,"$3,081.87 ","$2,448.10 "
59414,OTHER,,44,"$4,044.18 ","$2,791.94 "
,TOTAL,,44,"$4,044.18 ","$2,791.94 "
59425,OTHER,,"1,416","$248,121.13 ","$193,130.84 "
,TOTAL,,"1,416","$248,121.13 ","$193,130.84 "
59426,OTHER,,"1,730","$505,936.39 ","$395,735.81 "
,TOTAL,,"1,730","$505,936.39 ","$395,735.81 "
59430,OTHER,,"1,064","$126,387.30 ","$94,291.97 "
,TOTAL,,"1,064","$126,387.30 ","$94,291.97 "
59510,80'S,,6,"$1,815.65 ","$1,452.53 "
,OTHER,,"2,531","$4,597,563.35 ","$3,578,504.14 "
,TOTAL,,"2,537","$4,599,379.00 ","$3,579,956.67 "
59514,80'S,,"1,073","$164,835.06 ","$127,348.22 "
,OTHER,,986,"$903,879.22 ","$714,903.85 "
,TOTAL,,"2,059","$1,068,714.28 ","$842,252.07 "
59515,80'S,,1,$168.62 ,$134.90 
,OTHER,,969,"$1,045,842.49 ","$829,316.52 "
,TOTAL,,970,"$1,046,011.11 ","$829,451.42 "
59525,80'S,,1,$73.83 ,$59.06 
,OTHER,,13,"$6,176.22 ","$4,940.98 "
,TOTAL,,14,"$6,250.05 ","$5,000.04 "
59610,OTHER,,56,"$93,882.13 ","$73,279.73 "
,TOTAL,,56,"$93,882.13 ","$73,279.73 "
59612,OTHER,,34,"$33,163.52 ","$25,523.37 "
,TOTAL,,34,"$33,163.52 ","$25,523.37 "
59614,OTHER,,23,"$23,054.53 ","$17,754.45 "
,TOTAL,,23,"$23,054.53 ","$17,754.45 "
59618,OTHER,,25,"$50,412.07 ","$40,172.38 "
,TOTAL,,25,"$50,412.07 ","$40,172.38 "
59620,80'S,,6,"$1,072.92 ",$858.35 
,OTHER,,14,"$15,074.43 ","$11,618.38 "
,TOTAL,,20,"$16,147.35 ","$12,476.73 "
59622,80'S,,2,$378.19 ,$302.55 
,OTHER,,8,"$10,016.09 ","$7,996.36 "
,TOTAL,,10,"$10,394.28 ","$8,298.91 "
59812,SG,,16,"$11,341.33 ","$8,456.61 "
,OTHER,,417,"$112,378.88 ","$88,029.12 "
,TOTAL,,433,"$123,720.21 ","$96,485.73 "
59820,SG,,46,"$32,731.53 ","$24,674.80 "
,OTHER,,596,"$185,443.01 ","$142,840.64 "
,TOTAL,,642,"$218,174.54 ","$167,515.44 "
59821,SG,,2,"$1,435.04 ","$1,108.46 "
,OTHER,,38,"$12,311.29 ","$9,227.02 "
,TOTAL,,40,"$13,746.33 ","$10,335.48 "
59830,OTHER,,3,"$1,367.46 ","$1,093.96 "
,TOTAL,,3,"$1,367.46 ","$1,093.96 "
59840,SG,,6,"$4,581.56 ","$3,665.26 "
,OTHER,,46,"$10,000.56 ","$7,912.42 "
,TOTAL,,52,"$14,582.12 ","$11,577.68 "
59841,SG,,3,"$2,245.68 ","$1,796.55 "
,OTHER,,22,"$8,350.44 ","$6,640.33 "
,TOTAL,,25,"$10,596.12 ","$8,436.88 "
59850,OTHER,,1,$36.00 ,$7.20 
,TOTAL,,1,$36.00 ,$7.20 
59851,OTHER,,2,$848.85 ,$679.08 
,TOTAL,,2,$848.85 ,$679.08 
59855,OTHER,,4,"$1,612.06 ","$1,289.64 "
,TOTAL,,4,"$1,612.06 ","$1,289.64 "
59856,OTHER,,3,"$1,656.13 ","$1,324.91 "
,TOTAL,,3,"$1,656.13 ","$1,324.91 "
59870,OTHER,,6,"$2,435.26 ","$1,948.20 "
,TOTAL,,6,"$2,435.26 ","$1,948.20 "
59871,OTHER,,18,"$1,755.37 ","$1,404.31 "
,TOTAL,,18,"$1,755.37 ","$1,404.31 "
59899,OTHER,,5,"$1,534.93 ","$1,227.94 "
,TOTAL,,5,"$1,534.93 ","$1,227.94 "
,,,,,
