Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges A9000 - A9999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
A9150,TOTAL,ADMINISTRATION,3,$0.03 ,$0.03 
A9180,TOTAL,,1,$1.00 ,
A9270,TOTAL,,2,$201.10 ,$160.88 
A9500,TOTAL,,"2,317,403","$234,359,857.65 ","$185,194,017.70 "
A9502,TOTAL,,"1,310,235","$126,283,430.28 ","$99,842,286.54 "
A9503,TOTAL,,"208,910","$2,906,225.19 ","$2,299,268.08 "
A9504,TOTAL,,113,"$14,870.85 ","$11,666.22 "
A9505,TOTAL,,"1,675,764","$66,160,142.24 ","$52,292,318.59 "
A9507,TOTAL,,"1,752","$2,393,201.54 ","$1,890,706.92 "
A9508,TOTAL,,281,"$37,993.70 ","$30,313.76 "
A9510,TOTAL,,"2,553","$100,506.19 ","$79,122.42 "
A9511,TOTAL,,22,$553.72 ,$443.04 
A9512,TOTAL,,"116,247","$333,503.82 ","$264,392.30 "
A9513,TOTAL,,"22,103","$506,446.58 ","$400,980.80 "
A9514,TOTAL,,"24,948","$285,189.74 ","$226,315.62 "
A9515,TOTAL,,"21,422","$150,651.56 ","$119,679.55 "
A9516,TOTAL,,"68,855","$883,975.36 ","$699,320.99 "
A9517,TOTAL,,"29,184","$889,772.19 ","$704,991.42 "
A9519,TOTAL,,"8,837","$99,561.57 ","$79,261.23 "
A9520,TOTAL,,"19,866","$385,398.88 ","$305,175.70 "
A9521,TOTAL,,"1,323","$459,360.39 ","$363,856.91 "
A9522,TOTAL,,229,"$224,543.70 ","$177,595.09 "
A9523,TOTAL,,"1,651","$2,100,034.90 ","$1,663,587.94 "
A9524,TOTAL,,129,"$7,794.92 ","$6,235.93 "
A9526,TOTAL,,169,"$49,512.83 ","$39,610.26 "
A9528,TOTAL,,"2,488","$57,850.17 ","$45,902.17 "
A9529,TOTAL,,140,"$2,534.88 ","$2,027.90 "
A9530,TOTAL,,"3,706","$35,689.32 ","$28,551.44 "
A9531,TOTAL,,"1,919","$13,262.15 ","$10,390.55 "
A9533,TOTAL,,16,"$61,795.62 ","$49,436.52 "
A9534,TOTAL,,197,"$136,018.08 ","$108,814.46 "
A9600,TOTAL,,129,"$107,878.90 ","$86,303.12 "
A9605,TOTAL,,617,"$519,748.86 ","$414,581.65 "
A9699,TOTAL,,"19,446","$1,344,534.92 ","$1,072,631.90 "
A9700,TOTAL,,"14,332","$1,967,440.00 ","$1,553,219.00 "
A9900,TOTAL,,"1,553","$19,633.58 ","$15,595.38 "
A9901,TOTAL,,1,$7.00 ,$5.60 
A9999,TOTAL,,"3,021","$67,679.00 ","$53,134.90 "
,,,,,
