Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 99201 - 99397,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
99201,TOTAL,E & M,"444,144","$15,236,144.16 ","$10,201,962.17 "
99202,TOTAL,,"2,715,184","$170,353,592.92 ","$114,312,023.29 "
99203,TOTAL,,"5,196,819","$489,774,518.54 ","$334,240,767.14 "
99204,TOTAL,,"3,282,131","$441,583,412.36 ","$312,410,824.00 "
99205,TOTAL,,"1,090,735","$186,875,357.55 ","$136,358,719.30 "
99211,TOTAL,,"10,302,876","$214,759,147.68 ","$154,143,682.45 "
99212,TOTAL,,"25,077,913","$929,747,784.10 ","$656,840,514.77 "
99213,TOTAL,,"111,145,346","$5,697,215,325.10 ","$3,937,373,654.51 "
99214,TOTAL,,"59,530,131","$4,816,798,127.44 ","$3,398,510,213.79 "
99215,TOTAL,,"7,342,105","$870,952,662.98 ","$618,882,767.87 "
99217,TOTAL,,"437,065","$30,217,690.00 ","$23,743,973.52 "
99218,TOTAL,,"94,551","$6,223,262.22 ","$4,796,892.20 "
99219,TOTAL,,"273,557","$30,023,717.77 ","$23,169,491.35 "
99220,TOTAL,,"303,531","$47,102,689.88 ","$36,663,981.28 "
99221,TOTAL,,"508,887","$34,239,048.79 ","$26,619,032.49 "
99222,TOTAL,,"3,479,667","$389,249,316.67 ","$302,803,401.22 "
99223,TOTAL,,"5,805,630","$910,648,111.34 ","$713,556,656.76 "
99231,TOTAL,,"19,332,028","$655,867,363.55 ","$519,663,802.73 "
99232,TOTAL,,"51,810,706","$2,901,706,416.89 ","$2,303,165,412.47 "
99233,TOTAL,,"18,225,595","$1,461,479,001.27 ","$1,160,794,280.87 "
99234,TOTAL,,"71,223","$9,511,462.40 ","$7,431,504.71 "
99235,TOTAL,,"125,169","$22,005,542.74 ","$17,150,225.69 "
99236,TOTAL,,"99,670","$21,998,047.16 ","$17,219,933.64 "
99238,TOTAL,,"6,382,282","$448,405,234.36 ","$355,453,540.23 "
99239,TOTAL,,"2,478,134","$238,668,170.99 ","$189,541,724.71 "
99241,TOTAL,,"437,007","$20,513,557.13 ","$14,866,731.81 "
99242,TOTAL,,"1,760,753","$155,379,016.69 ","$113,890,764.18 "
99243,TOTAL,,"5,129,937","$614,260,372.62 ","$456,138,608.04 "
99244,TOTAL,,"5,907,939","$1,004,895,665.92 ","$762,468,332.62 "
99245,TOTAL,,"2,240,927","$495,382,842.91 ","$381,196,711.50 "
99251,TOTAL,,"345,297","$12,369,534.26 ","$9,660,318.44 "
99252,TOTAL,,"1,128,314","$81,570,621.46 ","$63,833,066.89 "
99253,TOTAL,,"3,423,522","$340,365,057.22 ","$266,736,284.68 "
99254,TOTAL,,"5,853,175","$841,608,701.45 ","$662,010,155.96 "
99255,TOTAL,,"2,925,778","$582,152,457.04 ","$459,381,280.73 "
99261,TOTAL,,"532,346","$11,904,746.48 ","$9,422,407.92 "
99262,TOTAL,,"1,388,691","$64,235,900.32 ","$50,981,770.01 "
99263,TOTAL,,"699,454","$48,138,488.98 ","$38,100,630.65 "
99271,TOTAL,,"8,105","$277,458.70 ","$207,733.45 "
99272,TOTAL,,"21,344","$1,296,299.81 ","$975,093.28 "
99273,TOTAL,,"48,777","$4,217,182.57 ","$3,145,497.27 "
99274,TOTAL,,"54,787","$6,493,661.07 ","$4,887,333.22 "
99275,TOTAL,,"35,555","$5,284,226.19 ","$4,055,765.20 "
99281,TOTAL,,"149,522","$2,425,771.02 ","$1,783,807.31 "
99282,TOTAL,,"959,505","$25,919,172.42 ","$18,983,460.09 "
99283,TOTAL,,"5,118,527","$312,407,317.67 ","$234,134,252.56 "
99284,TOTAL,,"5,622,960","$540,780,347.43 ","$413,964,986.90 "
99285,TOTAL,,"7,164,271","$1,088,640,928.87 ","$852,166,814.27 "
99289,TOTAL,,52,"$10,019.93 ","$7,839.10 "
99290,TOTAL,,24,"$2,944.28 ","$2,299.85 "
99291,TOTAL,,"3,310,166","$698,128,268.65 ","$554,285,458.41 "
99292,TOTAL,,"367,269","$38,303,332.00 ","$30,494,379.21 "
99293,TOTAL,,163,"$60,970.47 ","$47,492.76 "
99294,TOTAL,,605,"$232,150.83 ","$184,044.59 "
99295,TOTAL,,104,"$54,721.48 ","$43,609.20 "
99296,TOTAL,,47,"$18,867.85 ","$14,970.29 "
99298,TOTAL,,11,"$1,301.88 ",$984.29 
99299,TOTAL,,75,"$2,228.87 ","$1,783.09 "
99301,TOTAL,,"270,557","$17,470,683.52 ","$12,720,425.30 "
99302,TOTAL,,"607,414","$53,160,316.16 ","$40,682,694.36 "
99303,TOTAL,,"1,278,533","$140,006,164.75 ","$108,729,473.27 "
99311,TOTAL,,"5,380,366","$180,672,046.75 ","$130,205,312.48 "
99312,TOTAL,,"10,121,248","$561,629,672.76 ","$416,231,321.85 "
99313,TOTAL,,"3,400,593","$266,224,267.08 ","$199,150,792.58 "
99315,TOTAL,,"311,179","$18,852,208.32 ","$14,788,714.65 "
99316,TOTAL,,"161,205","$12,892,247.93 ","$10,143,870.75 "
99321,TOTAL,,"40,432","$1,651,915.43 ","$1,215,860.99 "
99322,TOTAL,,"52,474","$3,009,265.32 ","$2,221,559.98 "
99323,TOTAL,,"47,413","$3,327,116.20 ","$2,418,372.78 "
99331,TOTAL,,"343,080","$12,284,895.26 ","$8,753,978.72 "
99332,TOTAL,,"649,456","$29,487,823.68 ","$21,118,526.02 "
99333,TOTAL,,"282,561","$15,723,805.06 ","$11,201,149.52 "
99341,TOTAL,,"32,991","$1,970,786.63 ","$1,459,691.83 "
99342,TOTAL,,"55,829","$4,933,654.63 ","$3,709,729.20 "
99343,TOTAL,,"44,772","$5,649,397.80 ","$4,215,997.23 "
99344,TOTAL,,"48,835","$8,018,921.19 ","$5,945,537.96 "
99345,TOTAL,,"49,434","$10,123,936.10 ","$7,616,259.84 "
99347,TOTAL,,"300,239","$14,123,646.74 ","$10,540,933.87 "
99348,TOTAL,,"596,074","$43,707,409.42 ","$32,808,692.32 "
99349,TOTAL,,"703,405","$78,866,781.74 ","$59,530,413.50 "
99350,TOTAL,,"306,984","$50,760,121.68 ","$38,955,320.54 "
99354,TOTAL,,"195,402","$18,913,997.78 ","$14,781,845.23 "
99355,TOTAL,,"48,144","$4,498,541.48 ","$3,575,952.28 "
99356,TOTAL,,"109,489","$10,019,481.41 ","$7,966,134.72 "
99357,TOTAL,,"7,423","$673,376.22 ","$536,085.32 "
99358,TOTAL,,1,$0.01 ,$0.01 
99372,TOTAL,,1,$0.01 ,$0.01 
99385,TOTAL,,2,$130.01 ,$104.01 
99387,TOTAL,,3,$1.12 ,$0.89 
99395,TOTAL,,2,$0.02 ,$0.02 
99396,TOTAL,,17,$116.25 ,$93.00 
99397,TOTAL,,48,$833.51 ,$577.05 
,,,,,
