,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2003,,
,,,Code Ranges D0140 - D9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
D0140,TOTAL,DENTAL,1,$35.26 ,$28.21 
D0150,TOTAL,,19,"$1,013.40 ",$810.69 
D0240,TOTAL,,4,$133.68 ,$106.94 
D0274,TOTAL,,10,$247.05 ,$197.64 
D2999,TOTAL,,1,$73.29 ,$58.63 
D4268,TOTAL,,8,$534.78 ,$427.82 
D4355,TOTAL,,1,$104.55 ,$83.64 
D5983,TOTAL,,7,$595.00 ,$476.00 
D7110,TOTAL,,55,"$2,040.91 ","$1,606.79 "
D7120,TOTAL,,127,"$5,532.83 ","$4,377.51 "
D7140,TOTAL,,"2,783","$113,814.30 ","$90,595.54 "
D7210,TOTAL,,599,"$44,571.01 ","$35,582.50 "
D7240,TOTAL,,6,$742.53 ,$594.03 
D7241,TOTAL,,3,$461.64 ,$369.31 
D7250,TOTAL,,41,"$1,965.80 ","$1,530.58 "
D7415,TOTAL,,1,$150.00 ,$120.00 
D7471,TOTAL,,1,$0.01 ,$0.01 
D9221,TOTAL,,2,$50.01 ,$40.01 
D9230,TOTAL,,3,$79.06 ,$63.25 
D9241,TOTAL,,2,$0.02 ,$0.02 
D9242,TOTAL,,187,$1.87 ,$1.49 
D9630,TOTAL,,1,$12.75 ,$10.20 
D9999,TOTAL,,17,"$1,253.40 ","$1,002.72 "
,,,,,
