CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,
"""2015 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-3394 ,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PATH/LAB,80047,26,N/A,0,0,
PATH/LAB,80047,GLOBL,168595,1814639.89,1765216.7,
PATH/LAB,80047,TOTAL,168595,1814639.89,1765216.7,
PATH/LAB,80048,26,N/A,0,0,
PATH/LAB,80048,GLOBL,7908451.0999999996,76838975.689999998,75112405.900000006,
PATH/LAB,80048,TOTAL,7908451.0999999996,76838975.689999998,75112405.900000006,
PATH/LAB,80050,26,N/A,0,0,
PATH/LAB,80050,TC,N/A,0,0,
PATH/LAB,80050,GLOBL,N/A,0,0,
PATH/LAB,80050,TOTAL,N/A,0,0,
PATH/LAB,80051,26,N/A,0,0,
PATH/LAB,80051,GLOBL,434814,1980382.43,1935426.45,
PATH/LAB,80051,TOTAL,434814,1980382.43,1935426.45,
PATH/LAB,80053,26,N/A,0,0,
PATH/LAB,80053,TC,N/A,0,0,
PATH/LAB,80053,GLOBL,28489844.5,316750338.94999999,309648942.13999999,
PATH/LAB,80053,TOTAL,28489844.5,316750338.94999999,309648942.13999999,
PATH/LAB,80055,GLOBL,N/A,0,0,
PATH/LAB,80055,TOTAL,N/A,0,0,
PATH/LAB,80061,26,N/A,0,0,
PATH/LAB,80061,TC,N/A,0,0,
PATH/LAB,80061,GLOBL,19286157.300000001,277228405.54000002,271010245.01999998,
PATH/LAB,80061,TOTAL,19286157.300000001,277228405.54000002,271010245.01999998,
PATH/LAB,80069,26,N/A,0,0,
PATH/LAB,80069,GLOBL,1009167,10561822.619999999,10308336.42,
PATH/LAB,80069,TOTAL,1009167,10561822.619999999,10308336.42,
PATH/LAB,80074,26,N/A,0,0,
PATH/LAB,80074,GLOBL,122801,7814137.9100000001,7641178.4199999999,
PATH/LAB,80074,TOTAL,122801,7814137.9100000001,7641178.4199999999,
PATH/LAB,80076,26,N/A,0,0,
PATH/LAB,80076,TC,N/A,0,0,
PATH/LAB,80076,GLOBL,2013370.1,15283609.720000001,14917410.84,
PATH/LAB,80076,TOTAL,2013370.1,15283609.720000001,14917410.84,
PATH/LAB,80100,GLOBL,N/A,0,0,
PATH/LAB,80100,TOTAL,N/A,0,0,
PATH/LAB,80101,26,N/A,0,0,
PATH/LAB,80101,GLOBL,N/A,0,0,
PATH/LAB,80101,TOTAL,N/A,0,0,
PATH/LAB,80102,GLOBL,N/A,0,0,
PATH/LAB,80102,TOTAL,N/A,0,0,
PATH/LAB,80103,GLOBL,N/A,0,0,
PATH/LAB,80103,TOTAL,N/A,0,0,
PATH/LAB,80104,GLOBL,N/A,0,0,
PATH/LAB,80104,TOTAL,N/A,0,0,
PATH/LAB,80150,GLOBL,5047,100577.99,98567.34,
PATH/LAB,80150,TOTAL,5047,100577.99,98567.34,
PATH/LAB,80152,GLOBL,N/A,0,0,
PATH/LAB,80152,TOTAL,N/A,0,0,
PATH/LAB,80154,GLOBL,N/A,0,0,
PATH/LAB,80154,TOTAL,N/A,0,0,
PATH/LAB,80155,GLOBL,240,4620,4507.54,
PATH/LAB,80155,TOTAL,240,4620,4507.54,
PATH/LAB,80156,26,N/A,0,0,
PATH/LAB,80156,GLOBL,96975,1905640.21,1864903.96,
PATH/LAB,80156,TOTAL,96975,1905640.21,1864903.96,
PATH/LAB,80157,GLOBL,12323,219683.6,215167.73,
PATH/LAB,80157,TOTAL,12323,219683.6,215167.73,
PATH/LAB,80158,26,N/A,0,0,
PATH/LAB,80158,GLOBL,40923,987376.69,960769.93,
PATH/LAB,80158,TOTAL,40923,987376.69,960769.93,
PATH/LAB,80159,26,N/A,0,0,
PATH/LAB,80159,GLOBL,33157,814390.83,797830.88,
PATH/LAB,80159,TOTAL,33157,814390.83,797830.88,
PATH/LAB,80160,GLOBL,N/A,0,0,
PATH/LAB,80160,TOTAL,N/A,0,0,
PATH/LAB,80162,26,N/A,0,0,
PATH/LAB,80162,GLOBL,262033,4734489.51,4636632.8099999996,
PATH/LAB,80162,TOTAL,262033,4734489.51,4636632.8099999996,
PATH/LAB,80163,GLOBL,102,1843.14,1806.42,
PATH/LAB,80163,TOTAL,102,1843.14,1806.42,
PATH/LAB,80164,26,N/A,0,0,
PATH/LAB,80164,GLOBL,339715,5964837.2300000004,5840578.7699999996,
PATH/LAB,80164,TOTAL,339715,5964837.2300000004,5840578.7699999996,
PATH/LAB,80165,GLOBL,8503,151815.78,148357.34,
PATH/LAB,80165,TOTAL,8503,151815.78,148357.34,
PATH/LAB,80166,GLOBL,N/A,0,0,
PATH/LAB,80166,TOTAL,N/A,0,0,
PATH/LAB,80168,GLOBL,223,4505.76,4416.33,
PATH/LAB,80168,TOTAL,223,4505.76,4416.33,
PATH/LAB,80169,26,N/A,0,0,
PATH/LAB,80169,GLOBL,5566,103364.45,100443.49,
PATH/LAB,80169,TOTAL,5566,103364.45,100443.49,
PATH/LAB,80170,26,N/A,0,0,
PATH/LAB,80170,GLOBL,9071,197062.02,193052.07,
PATH/LAB,80170,TOTAL,9071,197062.02,193052.07,
PATH/LAB,80171,GLOBL,466960,8418883.1400000006,8220456.8300000001,
PATH/LAB,80171,TOTAL,466960,8418883.1400000006,8220456.8300000001,
PATH/LAB,80173,GLOBL,19907,391300.97,383175.56,
PATH/LAB,80173,TOTAL,19907,391300.97,383175.56,
PATH/LAB,80174,GLOBL,N/A,0,0,
PATH/LAB,80174,TOTAL,N/A,0,0,
PATH/LAB,80175,26,N/A,0,0,
PATH/LAB,80175,GLOBL,40773,733617.97,717782.68,
PATH/LAB,80175,TOTAL,40773,733617.97,717782.68,
PATH/LAB,80176,26,N/A,0,0,
PATH/LAB,80176,GLOBL,248,4810.79,4564.8,
PATH/LAB,80176,TOTAL,248,4810.79,4564.8,
PATH/LAB,80177,26,N/A,0,0,
PATH/LAB,80177,GLOBL,104809,1883917.97,1845081.7,
PATH/LAB,80177,TOTAL,104809,1883917.97,1845081.7,
PATH/LAB,80178,26,N/A,0,0,
PATH/LAB,80178,GLOBL,111150,1000087.22,978655.13,
PATH/LAB,80178,TOTAL,111150,1000087.22,978655.13,
PATH/LAB,80180,GLOBL,15167,370086.6,355231.6,
PATH/LAB,80180,TOTAL,15167,370086.6,355231.6,
PATH/LAB,80183,GLOBL,15462,278597.89,272783.07,
PATH/LAB,80183,TOTAL,15462,278597.89,272783.07,
PATH/LAB,80184,26,N/A,0,0,
PATH/LAB,80184,GLOBL,455777,7071956.9699999997,6918851.6200000001,
PATH/LAB,80184,TOTAL,455777,7071956.9699999997,6918851.6200000001,
PATH/LAB,80185,26,N/A,0,0,
PATH/LAB,80185,GLOBL,208293,3756766.03,3678431.8,
PATH/LAB,80185,TOTAL,208293,3756766.03,3678431.8,
PATH/LAB,80186,GLOBL,12724,236972.98,231974.43,
PATH/LAB,80186,TOTAL,12724,236972.98,231974.43,
PATH/LAB,80188,GLOBL,37799,843576.12,826275.06,
PATH/LAB,80188,TOTAL,37799,843576.12,826275.06,
PATH/LAB,80190,GLOBL,N/A,0,0,
PATH/LAB,80190,TOTAL,N/A,0,0,
PATH/LAB,80192,GLOBL,42,957.6,938.28,
PATH/LAB,80192,TOTAL,42,957.6,938.28,
PATH/LAB,80194,GLOBL,160,3165.89,3102.17,
PATH/LAB,80194,TOTAL,160,3165.89,3102.17,
PATH/LAB,80195,26,N/A,0,0,
PATH/LAB,80195,GLOBL,24626,453580.43,440979.66,
PATH/LAB,80195,TOTAL,24626,453580.43,440979.66,
PATH/LAB,80197,26,N/A,0,0,
PATH/LAB,80197,GLOBL,334521,6110594.8899999997,5925754.0700000003,
PATH/LAB,80197,TOTAL,334521,6110594.8899999997,5925754.0700000003,
PATH/LAB,80198,26,N/A,0,0,
PATH/LAB,80198,GLOBL,17719,337504.6,330106.25,
PATH/LAB,80198,TOTAL,17719,337504.6,330106.25,
PATH/LAB,80199,GLOBL,336,8237.56,8073.37,
PATH/LAB,80199,TOTAL,336,8237.56,8073.37,
PATH/LAB,80200,GLOBL,3334,70829.02,69279.48,
PATH/LAB,80200,TOTAL,3334,70829.02,69279.48,
PATH/LAB,80201,26,N/A,0,0,
PATH/LAB,80201,GLOBL,13448,217041.16,212335.8,
PATH/LAB,80201,TOTAL,13448,217041.16,212335.8,
PATH/LAB,80202,26,N/A,0,0,
PATH/LAB,80202,GLOBL,102022,1758882.94,1721300.02,
PATH/LAB,80202,TOTAL,102022,1758882.94,1721300.02,
PATH/LAB,80203,GLOBL,3636,65403.54,63922.879999999997,
PATH/LAB,80203,TOTAL,3636,65403.54,63922.879999999997,
PATH/LAB,80299,26,N/A,0,0,
PATH/LAB,80299,GLOBL,693184,12756955.6,12467793.02,
PATH/LAB,80299,TOTAL,693184,12756955.6,12467793.02,
PATH/LAB,80300,GLOBL,N/A,0,0,
PATH/LAB,80300,TOTAL,N/A,0,0,
PATH/LAB,80301,26,N/A,0,0,
PATH/LAB,80301,GLOBL,N/A,0,0,
PATH/LAB,80301,TOTAL,N/A,0,0,
PATH/LAB,80302,26,N/A,0,0,
PATH/LAB,80302,GLOBL,N/A,0,0,
PATH/LAB,80302,TOTAL,N/A,0,0,
PATH/LAB,80303,GLOBL,N/A,0,0,
PATH/LAB,80303,TOTAL,N/A,0,0,
PATH/LAB,80304,GLOBL,N/A,0,0,
PATH/LAB,80304,TOTAL,N/A,0,0,
PATH/LAB,80320,26,N/A,0,0,
PATH/LAB,80320,GLOBL,N/A,0,0,
PATH/LAB,80320,TOTAL,N/A,0,0,
PATH/LAB,80321,GLOBL,N/A,0,0,
PATH/LAB,80321,TOTAL,N/A,0,0,
PATH/LAB,80322,GLOBL,N/A,0,0,
PATH/LAB,80322,TOTAL,N/A,0,0,
PATH/LAB,80323,GLOBL,N/A,0,0,
PATH/LAB,80323,TOTAL,N/A,0,0,
PATH/LAB,80324,GLOBL,N/A,0,0,
PATH/LAB,80324,TOTAL,N/A,0,0,
PATH/LAB,80325,GLOBL,N/A,0,0,
PATH/LAB,80325,TOTAL,N/A,0,0,
PATH/LAB,80326,GLOBL,N/A,0,0,
PATH/LAB,80326,TOTAL,N/A,0,0,
PATH/LAB,80327,GLOBL,N/A,0,0,
PATH/LAB,80327,TOTAL,N/A,0,0,
PATH/LAB,80329,26,N/A,0,0,
PATH/LAB,80329,GLOBL,N/A,0,0,
PATH/LAB,80329,TOTAL,N/A,0,0,
PATH/LAB,80330,GLOBL,N/A,0,0,
PATH/LAB,80330,TOTAL,N/A,0,0,
PATH/LAB,80331,GLOBL,N/A,0,0,
PATH/LAB,80331,TOTAL,N/A,0,0,
PATH/LAB,80332,GLOBL,N/A,0,0,
PATH/LAB,80332,TOTAL,N/A,0,0,
PATH/LAB,80333,GLOBL,N/A,0,0,
PATH/LAB,80333,TOTAL,N/A,0,0,
PATH/LAB,80334,GLOBL,N/A,0,0,
PATH/LAB,80334,TOTAL,N/A,0,0,
PATH/LAB,80335,GLOBL,N/A,0,0,
PATH/LAB,80335,TOTAL,N/A,0,0,
PATH/LAB,80336,GLOBL,N/A,0,0,
PATH/LAB,80336,TOTAL,N/A,0,0,
PATH/LAB,80337,GLOBL,N/A,0,0,
PATH/LAB,80337,TOTAL,N/A,0,0,
PATH/LAB,80338,GLOBL,N/A,0,0,
PATH/LAB,80338,TOTAL,N/A,0,0,
PATH/LAB,80339,GLOBL,N/A,0,0,
PATH/LAB,80339,TOTAL,N/A,0,0,
PATH/LAB,80340,GLOBL,N/A,0,0,
PATH/LAB,80340,TOTAL,N/A,0,0,
