CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,
"""2015 Part B National Summary Data File
Code Range: 15) Durable Medical Equipment (E0000 - E9999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1101 ,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
DURABLE MEDICAL EQUIPMENT,E0100,,67169,1486108.69,1115093.05,
DURABLE MEDICAL EQUIPMENT,E0100,TOTAL,67169,1486108.69,1115093.05,
DURABLE MEDICAL EQUIPMENT,E0105,,39028,2016903.96,1505575.02,
DURABLE MEDICAL EQUIPMENT,E0105,TOTAL,39028,2016903.96,1505575.02,
DURABLE MEDICAL EQUIPMENT,E0110,,2998,240775.69,179963.32,
DURABLE MEDICAL EQUIPMENT,E0110,TOTAL,2998,240775.69,179963.32,
DURABLE MEDICAL EQUIPMENT,E0111,,663,35519.69,26400.59,
DURABLE MEDICAL EQUIPMENT,E0111,TOTAL,663,35519.69,26400.59,
DURABLE MEDICAL EQUIPMENT,E0112,,240,8715.7900000000009,6377.72,
DURABLE MEDICAL EQUIPMENT,E0112,TOTAL,240,8715.7900000000009,6377.72,
DURABLE MEDICAL EQUIPMENT,E0113,,81,1772.89,1374.26,
DURABLE MEDICAL EQUIPMENT,E0113,TOTAL,81,1772.89,1374.26,
DURABLE MEDICAL EQUIPMENT,E0114,,57978,2764559.08,2090229.51,
DURABLE MEDICAL EQUIPMENT,E0114,TOTAL,57978,2764559.08,2090229.51,
DURABLE MEDICAL EQUIPMENT,E0116,,941,25499.08,19021.14,
DURABLE MEDICAL EQUIPMENT,E0116,TOTAL,941,25499.08,19021.14,
DURABLE MEDICAL EQUIPMENT,E0117,,N/A,42.76,33.520000000000003,
DURABLE MEDICAL EQUIPMENT,E0117,TOTAL,N/A,42.76,33.520000000000003,
DURABLE MEDICAL EQUIPMENT,E0118,,22,2793.76,2190.3200000000002,
