CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,
"""2015 Part B National Summary Data File
Code Range: 14) Dental Procedures (D0000 - D9999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-833,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
DENTAL PROCEDURES,D0120,,N/A,0,0,
DENTAL PROCEDURES,D0120,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0140,,N/A,90.01,70.569999999999993,
DENTAL PROCEDURES,D0140,TOTAL,N/A,90.01,70.569999999999993,
DENTAL PROCEDURES,D0145,,N/A,0,0,
DENTAL PROCEDURES,D0145,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0150,,20,859.03,638.84,
DENTAL PROCEDURES,D0150,TOTAL,20,859.03,638.84,
DENTAL PROCEDURES,D0160,,N/A,0,0,
DENTAL PROCEDURES,D0160,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0170,,N/A,0,0,
DENTAL PROCEDURES,D0170,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0171,,N/A,0,0,
DENTAL PROCEDURES,D0171,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0180,,N/A,45,35.28,
DENTAL PROCEDURES,D0180,TOTAL,N/A,45,35.28,
DENTAL PROCEDURES,D0190,,N/A,0,0,
DENTAL PROCEDURES,D0190,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0191,,N/A,0,0,
DENTAL PROCEDURES,D0191,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0210,,N/A,0,0,
DENTAL PROCEDURES,D0210,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0220,,N/A,0,0,
DENTAL PROCEDURES,D0220,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0230,,N/A,0,0,
DENTAL PROCEDURES,D0230,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0240,,N/A,25,19.600000000000001,
DENTAL PROCEDURES,D0240,TOTAL,N/A,25,19.600000000000001,
DENTAL PROCEDURES,D0250,,N/A,0,0,
DENTAL PROCEDURES,D0250,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0260,,N/A,0,0,
DENTAL PROCEDURES,D0260,TOTAL,N/A,0,0,
DENTAL PROCEDURES,D0270,,N/A,0,0,
